family,method,axis,normalized_score,available_kpis,improved_kpis,total_kpis,axis_weight,weighted_score,axis_rank
citylearn_v2_original,baseline,OE1,0.46824503919356664,33,5,36,0.34,0.15920331332581267,4.0
citylearn_v2_original,baseline,OE2,0.9999999999960771,7,0,7,0.33,0.3299999999987055,1.0
citylearn_v2_original,baseline,OE3,0.7274303579737503,11,4,11,0.33,0.2400520181313376,2.0
citylearn_v2_original,hour_rbc,OE1,0.47043545005150056,33,2,36,0.34,0.1599480530175102,3.0
citylearn_v2_original,hour_rbc,OE2,0.8458763782175056,7,0,7,0.33,0.27913920481177684,2.0
citylearn_v2_original,hour_rbc,OE3,0.7370251241359423,11,3,11,0.33,0.24321829096486097,1.0
citylearn_v3_madrl,MAAC,OE1,0.5060143313699978,36,5,36,0.34,0.1720448726657993,1.0
citylearn_v3_madrl,MAAC,OE2,0.21439885985541846,7,0,7,0.33,0.07075162375228809,5.0
citylearn_v3_madrl,MAAC,OE3,0.5022314559515855,11,1,11,0.33,0.16573638046402323,3.0
citylearn_v3_madrl,MASAC,OE1,0.4237679231319638,36,2,36,0.34,0.1440810938648677,5.0
citylearn_v3_madrl,MASAC,OE2,0.22388015631595096,7,0,7,0.33,0.07388045158426382,4.0
citylearn_v3_madrl,MASAC,OE3,0.4567264901630735,11,1,11,0.33,0.15071974175381425,4.0
citylearn_v3_madrl,MATD3,OE1,0.4833950694709932,36,5,36,0.34,0.1643543236201377,2.0
citylearn_v3_madrl,MATD3,OE2,0.28168619993429406,7,0,7,0.33,0.09295644597831704,3.0
citylearn_v3_madrl,MATD3,OE3,0.2786017320263212,11,1,11,0.33,0.09193857156868601,5.0
