algorithm,scenario,action_dim,agent,agent_index,battery_capacity_fade_ratio,battery_charge_total_kwh,battery_discharge_total_kwh,battery_equivalent_full_cycles,battery_throughput_total_kwh,carbon_emissions_baseline_kgco2,carbon_emissions_control_kgco2,carbon_emissions_delta_kgco2,carbon_emissions_ratio_to_baseline,electrical_service_violation_time_step_count,electrical_service_violation_total_kwh,electricity_cost_baseline_eur,electricity_cost_control_eur,electricity_cost_delta_eur,electricity_cost_ratio_to_baseline,equity_relative_benefit_percent,ev_charge_total_kwh,ev_departure_count,ev_departure_met_count,ev_departure_soc_deficit_mean,ev_departure_success_rate,ev_departure_within_tolerance_count,ev_departure_within_tolerance_rate,ev_v2g_export_total_kwh,grid_export_baseline_kwh,grid_export_control_kwh,grid_export_daily_average_baseline_kwh,grid_export_daily_average_control_kwh,grid_export_daily_average_delta_kwh,grid_export_delta_kwh,grid_export_ratio_to_baseline,grid_import_baseline_kwh,grid_import_control_kwh,grid_import_daily_average_baseline_kwh,grid_import_daily_average_control_kwh,grid_import_daily_average_delta_kwh,grid_import_delta_kwh,grid_import_minus_export_control_kwh,grid_import_ratio_to_baseline,grid_role_control,net_exchange_baseline_kwh,net_exchange_control_kwh,net_exchange_delta_kwh,net_exchange_ratio_to_baseline,observation_dim,phase_imbalance_ratio_average,pv_export_daily_average_kwh,pv_export_total_kwh,pv_generation_daily_average_kwh,pv_generation_total_kwh,pv_self_consumption_ratio,action_l2_max,action_l2_mean,action_l2_min,action_l2_total,action_mean_max,action_mean_mean,action_mean_min,action_mean_total,agent_steps,carbon_emissions_max,carbon_emissions_mean,carbon_emissions_min,carbon_emissions_total,electricity_cost_max,electricity_cost_mean,electricity_cost_min,electricity_cost_total,grid_export_max,grid_export_mean,grid_export_min,grid_export_total,grid_import_max,grid_import_mean,grid_import_min,grid_import_total,individual_reward_max,individual_reward_mean,individual_reward_min,individual_reward_total,net_electricity_consumption_max,net_electricity_consumption_mean,net_electricity_consumption_min,net_electricity_consumption_total,observation_l2_max,observation_l2_mean,observation_l2_min,observation_l2_total,observation_mean_max,observation_mean_mean,observation_mean_min,observation_mean_total,team_reward_max,team_reward_mean,team_reward_min,team_reward_total
HAPPO,E1,6,Building_1,0,0.0004927555134986,968694.0174137296,841500.7324868236,134.1481213799135,1810194.749900553,2827485.9481355133,3197023.037652865,369537.0895173517,1.1306945803783852,0.0,0.0,1907596.6336993333,2071827.773687887,164231.1399885537,1.0860932217468149,-8.609322174681457,14841.69085293077,924.0,542.0,0.1468813123744752,0.5865800865800865,87.0,0.0941558441558441,2664.655516419298,1769549.5702961087,2106300.3152062297,4848.634511600252,5771.344624380582,922.7101127803292,336750.74491012096,1.190303086481929,3668559.406642914,4144680.478024006,10051.9951774666,11356.585394745536,1304.5902172789372,476121.0713810921,2038380.162817776,1.129784206443256,net_importer,1899009.836346805,2038380.162817776,139370.3264709711,1.073391050327092,61,0.0530543861571302,4730.992503611014,1726615.1391303698,9424.330475569272,3439487.9431463024,0.4980022702010308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,8,Building_2,1,0.0005861475317844,46428.97444646771,40387.08332775005,177.9017577340528,86816.05777421777,22005.232501005747,45769.12977153016,23763.897270524416,2.07992029938508,0.0,0.0,-3091.978904138671,-7057.40229502784,-3965.423390889169,2.2824872076524767,,1998.9178407900035,542.0,223.0,0.2572150417192597,0.4114391143911439,23.0,0.0424354243542435,78.79445060621947,1956117.685444832,1978160.8596967903,5359.838389162686,5420.237542267722,60.39915310503591,22043.174251958728,1.0112688384834811,28823.82403801987,58829.01330902288,78.97839672479472,161.19378004527334,82.21538332047862,30005.189271003008,-1919331.846387768,2.040985721791281,net_exporter,-1927293.861406812,-1919331.846387768,7962.01501904428,0.995868811093897,75,0.5209012252908672,5340.734174423936,1949145.443074136,5410.909603423045,1974756.550682602,0.0129692480825616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,10,Building_3,2,0.0009998235872692,720194.6811245902,625901.0503773756,284.8277045073986,1346095.7315019658,347248.60899351985,745457.9427612871,398209.3337677672,2.146755734809001,0.0,0.0,229360.17202582335,371548.34961197234,142188.17758614896,1.619934037938113,-61.99340379381132,21462.234931595623,2505.0,1206.0,0.2420769725524132,0.481437125748503,96.0,0.0383233532934131,3413.690712036594,1245031.6582307816,1661811.919500798,3411.4350722158647,4553.429166345377,1141.994094129512,416780.2612700164,1.3347547498207963,450183.90715765953,979306.3413976209,1233.5213804982109,2683.3373893758303,1449.8160088776197,529122.4342399612,-682505.5781031772,2.175347287691153,net_exporter,-794847.751073122,-682505.5781031772,112342.17296994478,0.8586620232386997,89,0.1283616898487394,3323.255152361382,1212849.6616472227,4022.252636903788,1467954.6186100116,0.1737825909116623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,8,Building_4,3,0.0007609138708985,64255.048436508645,54713.85570801702,131.02302218560095,118968.90414452567,441055.80909908673,479475.5604534643,38419.75135437754,1.0871085938826082,0.0,0.0,303201.74238676025,311684.5628932684,8482.820506508113,1.0279774794159575,-2.797747941595776,9119.660210248085,1426.0,873.0,0.162510922812455,0.6122019635343618,122.0,0.0855539971949509,0.0,101729.93405507503,134113.39862172306,278.74396818378824,367.4759181323614,88.73194994857315,32383.464566648006,1.3183277849085804,583439.8270010054,634484.144838782,1598.6477734928794,1738.511185766728,139.86341227384847,51044.317837776616,500370.746217059,1.0874885729007469,net_importer,481709.8929459304,500370.746217059,18660.85327112861,1.0387387793865035,75,0.0867793169304283,293.2919814971555,107039.35274723273,1690.947699404299,617125.4541284273,0.8265517132194693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,5,Building_5,4,0.0013392690738856,63820.6633147532,55158.936688778624,254.22991453746116,118979.6000035318,284112.69435472187,306768.1116222667,22655.417267544835,1.0797409539161913,0.0,0.0,193484.1428362729,190378.88475959172,-3105.2580766811443,0.983950839427142,1.604916057285804,2085.5104294866323,746.0,485.0,0.2371118972572209,0.6501340482573726,23.0,0.0308310991957104,1929.665346726746,94057.66908079386,114054.8292720914,257.72166433828664,312.51465949653993,54.79299515825331,19997.16019129753,1.212605313173563,369966.3254110925,398781.0572395511,1013.7220926893732,1092.6755764070358,78.95348371766259,28814.731828458607,284726.2279674597,1.0778847420679187,net_importer,275908.65633029863,284726.2279674597,8817.571637161076,1.0319583000926411,54,0.4379924649453943,260.26971217588664,94987.60037285797,733.1778193012495,267579.35496915184,0.6450114756281975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,34,Building_6,5,0.0012785682325608,779384.3208818738,681977.9822423841,287.5565334758477,1461362.3031242578,2863237.650240166,3138026.154004231,274788.503764065,1.095971252592678,0.0,0.0,1970267.3212005908,2214420.4408988105,244153.1196982197,1.123918778467809,-12.391877846780911,26128.51932900399,7949.0,3516.0,0.2672446153779463,0.4423197886526607,530.0,0.0666750534658447,11338.138423167991,1415679.8517279625,1694753.879805021,3879.0177464860258,4643.691416294155,764.6736698081293,279074.0280770585,1.1971307479840332,3769963.8119335175,4161234.559249431,10329.847184199614,11401.944219886556,1072.0970356869418,391270.74731591344,2466480.67944441,1.1037863403562065,net_importer,2354283.960205555,2466480.67944441,112196.71923885494,1.04765640896991,257,0.1320387341096628,4587.7337935987525,1674331.6790888114,13459.757425435582,4912250.637057927,0.6591518220878869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,44,Building_7,6,0.0002238608908833,67519.21317012659,58575.08957205529,64.0723083039542,126094.30274218188,52949.058749405405,67668.69547880441,14719.636729399004,1.2779961925114354,0.0,0.0,23773.25529801165,15684.046766798958,-8089.208531212695,0.6597349235597003,34.02650764402997,26756.941616261374,7786.0,4213.0,0.2251810729654922,0.5410994091959928,389.0,0.0499614693038787,2325.6824577866355,1931201.3037362096,1917315.6714513376,5291.566536096477,5253.519364634331,-38.047171462145634,-13885.632284872234,0.99280984729142,69885.7583964169,89375.50691438466,191.48969077680167,244.89235825382255,53.40266747702093,19489.74851796776,-1827940.164536953,1.2788801175686606,net_exporter,-1861315.545339793,-1827940.164536953,33375.380802839994,0.982068929211706,327,0.2318123291726948,5142.393092884337,1876759.212523913,5462.3447444872845,1993528.234040172,0.0585740495280619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,19,Building_8,7,0.0005853271801379,112892.22300702755,98095.3095161725,175.53039311414318,210987.5325232001,36155.12936520847,110928.77604305836,74773.6466778499,3.06813384409581,0.0,0.0,-23621.33845789917,-17088.09611713012,6533.242340769055,0.7234177753130546,,22198.682953264564,3726.0,1875.0,0.2534774493725881,0.5032206119162641,169.0,0.0453569511540526,10464.135552475636,4944710.543594837,5013167.944498792,13548.698829349936,13736.274765152531,187.5759358025942,68457.4009039551,1.0138445719522715,47639.85404365324,142628.71352785453,130.535049326142,390.80821151598457,260.2731621898426,94988.8594842013,-4870539.230970938,2.9938948468893574,net_exporter,-4897070.689551184,-4870539.230970938,26531.458580246195,0.9945821777421232,152,0.4608421628432587,13537.044827231372,4940457.318404983,13651.89850035546,4982374.123525562,0.008413018388695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,12,Building_9,8,0.0002335948956048,10932.3669803517,9453.91087534763,73.863325564128,20386.27785569933,21290.87013029667,23879.7614362631,2588.89130596643,1.1215963128854216,0.0,0.0,4998.238492773146,529.3714940771151,-4468.866998696031,0.1059116116292815,89.40883883707185,6177.286766605452,1847.0,939.0,0.2258046465037392,0.5083919870059556,107.0,0.0579317812669193,1043.4885702952745,1077814.8113464117,1074575.2979122996,2953.2544208601303,2944.3780283017686,-8.876392558361655,-3239.513434112072,0.996994369162486,27695.394731640816,31068.135221719745,75.88645662283133,85.12789648604564,9.24143986321432,3372.740490078926,-1043507.16269058,1.1217798310065503,net_exporter,-1050119.416614771,-1043507.16269058,6612.253924190998,0.9937033314310988,103,0.4515244984373048,2931.509639985739,1069878.8723597953,2999.344794388089,1094635.8772518863,0.022616657654456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,8,Building_10,9,5.827061516441902e-05,45262.46408450604,40039.62138652678,18.12624000659431,85302.08547103281,402010.98088093614,422666.8611211777,20655.88024024153,1.0513813831527137,0.0,0.0,291591.91578211257,287941.965780557,-3649.950001555553,0.9874826776600936,1.2517322339906434,22074.408289087936,1298.0,901.0,0.1737759529945093,0.6941448382126348,46.0,0.0354391371340523,4733.301131625471,2957317.8583192825,2963089.8305253983,8103.165726642628,8118.981154539281,15.815427896652285,5771.972206115723,1.001951759155641,535865.6283483505,564201.5504117012,1468.2926224866324,1545.934148861837,77.6415263752045,28335.92206335068,-2398888.280113697,1.0528787825983317,net_exporter,-2421452.229970932,-2398888.280113697,22563.949857234955,0.9906816456761132,75,0.0808283000935306,8070.238117958882,2945300.65313341,9620.309019882929,3511011.946048106,0.1611248556278609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,5,Building_11,10,0.000348894853606,237359.0395441967,201085.89708556465,115.3195519804738,438444.93662976136,403495.68420744233,405282.20824868977,1786.5240412474377,1.0044276162327648,0.0,0.0,183346.1930530692,113133.03589404112,-70213.15715902808,0.6170460046655836,38.295399533441646,1979.7644637934864,983.0,408.0,0.3451573625191994,0.4150559511698881,28.0,0.0284842319430315,2403.640669512999,10206221.64710313,10169226.833759472,27965.44349017869,27864.07626558138,-101.36722459730758,-36994.81334365904,0.9963752684761495,523013.7651405335,521868.2304106951,1433.078018423656,1429.9392087974293,-3.138809626226842,-1145.5347298383713,-9647358.603348777,0.9978097426756434,net_exporter,-9683207.881962596,-9647358.603348777,35849.27861382067,0.996297789012606,54,0.1158118699627276,27661.261833812958,10095208.01676532,28769.848278196278,10499795.87786338,0.0385329263353634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,5,Building_12,11,0.0007576428271117,937963.169716143,823493.7295249272,202.6526575288852,1761456.8992410705,957604.4180059932,1107281.5134865046,149677.0954805113,1.1563036810045029,0.0,0.0,631369.7464577048,604445.0628330507,-26924.68362465408,0.9573551254621958,4.264487453780421,9377.641594192011,960.0,556.0,0.1710414607633526,0.5791666666666667,74.0,0.0770833333333333,2659.3727416282345,3731885.5141181946,3838805.022163868,10225.511170092095,10518.474772454942,292.9636023628452,106919.50804567336,1.0286502647632634,1243655.5313100817,1471762.7466902733,3407.6644310357296,4032.6870556646377,625.0226246289078,228107.2153801918,-2367042.2754735947,1.1834167176017791,net_exporter,-2488229.982808113,-2367042.2754735947,121187.70733451845,0.951295616493717,54,0.0408918030044427,8998.212112877283,3283972.4956955053,12113.474015475873,4420913.287564714,0.257173284775169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,13,Building_13,12,7.104060409195553e-05,6173.606497108936,5475.251055667863,21.413341089663238,11648.8575527768,19888.056094447173,23744.10505548585,3856.04896103868,1.193887675232136,0.0,0.0,10243.90532831423,8664.569300928983,-1579.3360273852468,0.8458267646207204,15.417323537927963,5264.1871296893805,2018.0,1090.0,0.2326249093600347,0.5401387512388504,80.0,0.0396432111000991,1438.912966767326,641357.7907791287,641879.2899570465,1757.3452424590807,1758.7741704497223,1.4289279906414103,521.4991779178381,1.0008131173978323,26432.01076344773,31477.13972346112,72.42473550893317,86.24858469723335,13.823849188300189,5045.12896001339,-610402.1502335854,1.19087193196025,net_exporter,-614925.7800156809,-610402.1502335854,4523.629782095552,0.9926436166296684,110,0.3793163186221768,1745.4676958518355,637022.9811652595,1832.502519284712,668787.065267283,0.0474950634539094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPO,E1,6,Building_14,13,0.0006013012657457,40601.36190549284,35369.598394677894,165.87545917067845,75970.96030017073,15705.906845847963,56108.56426087767,40402.65741502971,3.5724498312372592,0.0,0.0,-32959.08623825316,-26858.635200960867,6100.451037292289,0.8149083687213406,,21220.41874529235,1192.0,850.0,0.1201012799949201,0.7130872483221476,71.0,0.0595637583892617,5530.8967444577465,4312148.930569649,4343415.114372075,11815.45545537979,11901.126012664665,85.67055728487507,31266.18380242586,1.0072507198396543,20365.25923728943,72552.73560112715,55.80160083285151,198.7973118423395,142.995711009488,52187.47636383772,-4270862.378770947,3.562573633645714,net_exporter,-4291783.671332359,-4270862.378770947,20921.292561411858,0.9951252686147348,61,0.735740001222395,11807.649181201145,4309299.965755868,11843.52642859476,4322393.666169229,0.0030292706830115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
