algorithm,scenario,cost_function,level,name,value
HAPPO,E1,building_battery_health_capacity_fade_ratio,building,Building_1,0.0004927555134986
HAPPO,E1,building_battery_health_equivalent_full_cycles_count,building,Building_1,134.1481213799135
HAPPO,E1,building_battery_total_charge_kwh,building,Building_1,968694.0174137296
HAPPO,E1,building_battery_total_discharge_kwh,building,Building_1,841500.7324868236
HAPPO,E1,building_battery_total_throughput_kwh,building,Building_1,1810194.749900553
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_1,0.0
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_1,0.0
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_1,0.0
HAPPO,E1,building_comfort_resilience_discomfort_cold_ratio,building,Building_1,
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_1,0.0
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_1,0.0
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_1,0.0
HAPPO,E1,building_comfort_resilience_discomfort_hot_ratio,building,Building_1,
HAPPO,E1,building_comfort_resilience_discomfort_overall_ratio,building,Building_1,
HAPPO,E1,building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_1,
HAPPO,E1,building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_1,0.0
HAPPO,E1,building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_1,
HAPPO,E1,building_cost_daily_average_baseline_eur,building,Building_1,5226.888823927846
HAPPO,E1,building_cost_daily_average_control_eur,building,Building_1,5676.888522492212
HAPPO,E1,building_cost_daily_average_delta_eur,building,Building_1,449.9996985643669
HAPPO,E1,building_cost_ratio_to_baseline_total_ratio,building,Building_1,1.0860932217468149
HAPPO,E1,building_cost_total_baseline_eur,building,Building_1,1907596.6336993333
HAPPO,E1,building_cost_total_control_eur,building,Building_1,2071827.773687887
HAPPO,E1,building_cost_total_delta_eur,building,Building_1,164231.1399885537
HAPPO,E1,building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_1,0.0530543861571302
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_1,1331.01806640625
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_1,1339.713623046875
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_1,1332.3719482421875
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_1,777.1807250976562
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_1,770.7807006835938
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_1,774.1807250976562
HAPPO,E1,building_electrical_service_phase_violations_energy_total_kwh,building,Building_1,0.0
HAPPO,E1,building_electrical_service_phase_violations_event_count,building,Building_1,0.0
HAPPO,E1,building_emissions_daily_average_baseline_kgco2,building,Building_1,7747.421253025725
HAPPO,E1,building_emissions_daily_average_control_kgco2,building,Building_1,8759.967222704505
HAPPO,E1,building_emissions_daily_average_delta_kgco2,building,Building_1,1012.5459696787808
HAPPO,E1,building_emissions_ratio_to_baseline_total_ratio,building,Building_1,1.1306945803783852
HAPPO,E1,building_emissions_total_baseline_kgco2,building,Building_1,2827485.9481355133
HAPPO,E1,building_emissions_total_control_kgco2,building,Building_1,3197023.037652865
HAPPO,E1,building_emissions_total_delta_kgco2,building,Building_1,369537.0895173517
HAPPO,E1,building_energy_grid_daily_average_export_baseline_kwh,building,Building_1,4848.634511600252
HAPPO,E1,building_energy_grid_daily_average_export_control_kwh,building,Building_1,5771.344624380582
HAPPO,E1,building_energy_grid_daily_average_export_delta_kwh,building,Building_1,922.7101127803292
HAPPO,E1,building_energy_grid_daily_average_import_baseline_kwh,building,Building_1,10051.9951774666
HAPPO,E1,building_energy_grid_daily_average_import_control_kwh,building,Building_1,11356.585394745536
HAPPO,E1,building_energy_grid_daily_average_import_delta_kwh,building,Building_1,1304.5902172789372
HAPPO,E1,building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_1,5203.360665866346
HAPPO,E1,building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_1,5585.240770364954
HAPPO,E1,building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_1,381.8801044986079
