algorithm,scenario,kpi,n,mean,median,std,min,p25,p75,iqr,max,cv_abs
HAPPO,E1,building_battery_health_capacity_fade_ratio,17,0.0005991545461847691,0.0005861475317844,0.00037900683467214426,5.827061516441902e-05,0.0003417490274579,0.0007609138708985,0.0004191648434406,0.0013392690738856,0.6325694048147387
HAPPO,E1,building_battery_health_equivalent_full_cycles_count,17,155.49213083319432,165.87545917067845,84.40092881414648,18.12624000659431,102.96666718196764,202.6526575288852,99.68599034691755,287.5565334758477,0.5427987150339356
HAPPO,E1,building_battery_total_charge_kwh,17,278496.33035140845,67519.21317012659,346815.95343878365,6173.606497108936,46428.97444646771,431931.2348561799,385502.2604097122,968694.0174137296,1.24531606215841
HAPPO,E1,building_battery_total_discharge_kwh,17,242376.05628706317,58575.08957205529,302782.87039305596,5475.251055667863,40387.08332775005,373838.4239680003,333451.34064025024,841500.7324868236,1.2492276466221923
HAPPO,E1,building_battery_total_throughput_kwh,17,520872.3866384716,126094.30274218188,649593.8175495585,11648.8575527768,86816.05777421777,805769.6588241803,718953.6010499625,1810194.749900553,1.2471266172158022
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_average_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_max_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_min_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HAPPO,E1,building_comfort_resilience_discomfort_cold_ratio,0,,,,,,,,,
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_average_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_max_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_min_c,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HAPPO,E1,building_comfort_resilience_discomfort_hot_ratio,0,,,,,,,,,
HAPPO,E1,building_comfort_resilience_discomfort_overall_ratio,0,,,,,,,,,
HAPPO,E1,building_comfort_resilience_resilience_one_minus_thermal_ratio,0,,,,,,,,,
HAPPO,E1,building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HAPPO,E1,building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,0,,,,,,,,,
HAPPO,E1,building_cost_daily_average_baseline_eur,17,960.769288735659,420.3637009821039,1700.858099469807,-90.30917567280235,28.06869823947272,798.9731680295356,770.9044697900629,5398.608940382941,1.7703085635762574
HAPPO,E1,building_cost_daily_average_control_eur,17,1020.6953030413814,301.88670761667873,1886.92304903668,-73.59370302809235,23.74125621900852,854.027801054737,830.2865448357285,6067.597965700588,1.848664379481503
HAPPO,E1,building_cost_daily_average_delta_eur,17,59.92601430572237,-8.508527667581626,229.9051552481633,-240.26204314538293,-20.38365119411056,23.24325746731302,43.62690866142358,668.9890253176474,3.8364833355221077
HAPPO,E1,building_cost_ratio_to_baseline_total_ratio,17,0.9501148740016975,0.9573551254621958,0.47819454071978135,0.1059116116292815,0.7020864347329527,1.0860932217468149,0.38400678701386215,2.2824872076524767,0.5033018151854836
HAPPO,E1,building_cost_total_baseline_eur,17,350640.7583348182,153415.23570426033,620742.3372190016,-32959.08623825316,10243.90532831423,291591.91578211257,281348.01045379834,1970267.3212005908,1.7703085635762574
HAPPO,E1,building_cost_total_control_eur,17,372511.2566391441,110176.06966727036,688648.2911046783,-26858.635200960867,8664.569300928983,311684.5628932684,303019.99359233945,2214420.4408988105,1.8486643794815032
HAPPO,E1,building_cost_total_delta_eur,17,21870.49830432592,-3105.2580766811443,83905.80228411092,-87685.63482960037,-7439.1833670505985,8482.820506508113,15922.003873558711,244153.1196982197,3.836483335522108
HAPPO,E1,building_electrical_service_phase_imbalance_phase_average_ratio,17,0.26823047958571944,0.2318123291726948,0.20265000867072863,0.0408918030044427,0.0950111570424526,0.4379924649453943,0.3429813079029417,0.735740001222395,0.7555070139072954
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l1_kw,17,1024.899398803711,929.9771728515624,883.395376321771,118.61672973632812,506.7197570800781,1154.8841552734375,648.1643981933594,4098.03125,0.8619337442805537
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l2_kw,17,1026.0785805197322,935.9856567382812,883.577453232722,118.78942108154295,502.3316040039063,1159.0406494140625,656.7090454101562,4097.03125,0.8611206490492861
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l3_kw,17,1026.2134785371668,933.7298583984376,885.3724994667698,126.18942260742188,505.31976318359375,1160.8546142578125,655.5348510742188,4108.43115234375,0.8627566466275992
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l1_kw,17,228.69048780553481,118.06591033935548,277.5523740278304,27.66148567199707,51.04995727539063,242.6619415283203,191.6119842529297,1005.6448364257812,1.213659460396293
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l2_kw,17,227.62485077801873,129.5459747314453,276.728679286422,21.191740036010746,55.036251068115234,244.2297821044922,189.19353103637695,1004.5620727539062,1.2157226170190427
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l3_kw,17,228.94895935058594,145.14671325683594,279.7195318347219,20.02155113220215,49.18064498901367,247.79217529296875,198.61153030395508,1015.3023681640624,1.221754982543475
HAPPO,E1,building_electrical_service_phase_violations_energy_total_kwh,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HAPPO,E1,building_electrical_service_phase_violations_event_count,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HAPPO,E1,building_emissions_daily_average_baseline_kgco2,17,1473.7290300920931,670.7304733464738,2469.967789134222,43.034794417211,99.06645790215816,1105.5938373077538,1006.5273794055956,7845.382304574037,1.6759985985889647
HAPPO,E1,building_emissions_daily_average_control_kgco2,17,1723.785979197286,770.146020457909,2734.774004269443,65.05976953209961,185.414852322332,1313.781647549166,1128.366795226834,8759.967222704505,1.5864927765237673
HAPPO,E1,building_emissions_daily_average_delta_kgco2,17,250.0569491051931,99.41554711143525,354.36778473244,4.895145220908609,40.332376013880136,204.8826944021461,164.55031838826596,1091.109031901634,1.4171483176153035
HAPPO,E1,building_emissions_ratio_to_baseline_total_ratio,17,1.5237308415454345,1.1563036810045029,0.7582743738082856,1.0044276162327648,1.095971252592678,1.46795058988434,0.371979337291662,3.5724498312372592,0.49764325373844276
HAPPO,E1,building_emissions_total_baseline_kgco2,17,537849.6906073602,244788.6756684068,901435.3277094438,15705.906845847963,36155.12936520847,403495.68420744233,367340.5548422339,2863237.650240166,1.6759985985889643
HAPPO,E1,building_emissions_total_control_kgco2,17,629110.0579912094,281071.2080496177,998078.5626415021,23744.10505548585,67668.69547880441,479475.5604534643,411806.86497465987,3197023.037652865,1.5864927765237673
HAPPO,E1,building_emissions_total_delta_kgco2,17,91260.36738384944,36282.53238121088,129329.47610297674,1786.5240412474377,14719.636729399004,74773.6466778499,60054.0099484509,398209.3337677672,1.4171483176153032
HAPPO,E1,building_energy_grid_daily_average_export_baseline_kwh,17,6675.582096835543,5291.566536096477,6715.2523311277955,257.72166433828664,2953.2544208601303,8103.165726642628,5149.911305782498,27965.44349017869,1.0059425880345412
HAPPO,E1,building_energy_grid_daily_average_export_control_kwh,17,6886.980501960452,5420.237542267722,6643.489753525967,312.51465949653993,2944.3780283017686,8118.981154539281,5174.603126237513,27864.07626558138,0.964644774532878
HAPPO,E1,building_energy_grid_daily_average_export_delta_kwh,17,211.39840512490957,60.39915310503591,367.6781500532942,-101.36722459730758,1.4289279906414103,187.5759358025942,186.1470078119528,1141.994094129512,1.739266433140984
HAPPO,E1,building_energy_grid_daily_average_import_baseline_kwh,17,1926.0304015080103,872.1743010806091,3228.2426598088014,55.80160083285151,130.535049326142,1468.2926224866324,1337.7575731604904,10329.847184199614,1.6761119955745285
HAPPO,E1,building_energy_grid_daily_average_import_control_kwh,17,2262.277325927478,998.0148905611348,3588.0143710323587,85.12789648604564,244.89235825382255,1738.511185766728,1493.6188275129055,11401.944219886556,1.5860188005736038
HAPPO,E1,building_energy_grid_daily_average_import_delta_kwh,17,336.24692441946786,125.84058948052584,475.9098598373824,-3.138809626226842,53.40266747702093,260.2731621898426,206.87049471282165,1449.8160088776197,1.4153582539350906
HAPPO,E1,building_energy_grid_daily_average_net_exchange_baseline_kwh,17,-4749.551695327532,-5100.076845319675,7668.002019895359,-26532.365471755034,-6634.873104155996,-329.53057972395965,6305.342524432036,6450.829437713589,1.6144685881488376
HAPPO,E1,building_energy_grid_daily_average_net_exchange_control_kwh,17,-4624.703176032975,-5008.627006380509,7706.915568063007,-26434.137056783955,-6485.787716790304,-255.91483560791437,6229.87288118239,6758.2528035924015,1.6664670736066405
HAPPO,E1,building_energy_grid_daily_average_net_exchange_delta_kwh,17,124.84851929455829,72.69722638724839,125.55338266639596,12.394921197658778,35.560732145390226,174.91627713444163,139.3555449890514,381.8801044986079,1.0056457487507295
