algorithm,scenario,n,mean,median,std,min,p25,p75,iqr,max,cv_abs,first_episode,last_episode,absolute_change_last_minus_first,relative_change_abs_denominator,linear_slope_per_episode,best_episode,best_reward_mean,worst_episode,worst_reward_mean
HAPPO,E1,50,-0.6300156170363184,-0.6302772856454751,0.02114620821551424,-0.7062119254468171,-0.6397581132952421,-0.615790193405911,0.023967919889331113,-0.5952638351180066,0.03356457783537012,-0.7062119254468171,-0.618064939652382,0.08814698579443514,0.12481662036316497,0.00016298215041280842,4,-0.5952638351180066,0,-0.7062119254468171
HAPPO,E2,50,-0.4840538864478157,-0.4809061810828808,0.018227558104827405,-0.5430863981455699,-0.4925944065062614,-0.47019649357121973,0.022397912935041675,-0.4607559602209014,0.03765605155778965,-0.5430863981455699,-0.47709955993467407,0.06598683821089585,0.12150338958260673,0.00022399961763839343,5,-0.4607559602209014,0,-0.5430863981455699
HAPPO,E3,50,-0.5206919229404825,-0.5186243595666363,0.016521545155436305,-0.569580484648387,-0.5304599170786617,-0.5079592132707748,0.022500703807886935,-0.494647246271114,0.03172998164084215,-0.569580484648387,-0.5147201631677909,0.05486032148059605,0.09631706661168771,0.00010693097001074894,4,-0.494647246271114,0,-0.569580484648387
MAAC,E1,50,-0.6051573274768176,-0.6126499299083629,0.01469522304963422,-0.6214699934294116,-0.6177183806122384,-0.5862472239387687,0.03147115667346967,-0.5844288248600668,0.024283310111943023,-0.5901762890098425,-0.613195339604192,-0.0230190505943495,-0.03900368588675308,1.556711693172204e-05,26,-0.5844288248600668,2,-0.6214699934294116
MAAC,E2,50,-0.5237155915828978,-0.5274159891083237,0.009338384122833696,-0.5339684196918764,-0.5334188124008689,-0.5120022083563796,0.021416604044489307,-0.5113138028926756,0.017831021785333925,-0.5117970278910983,-0.5277731741774441,-0.015976146286345805,-0.031215785586283743,-8.773190659335759e-06,39,-0.5113138028926756,10,-0.5339684196918764
MAAC,E3,50,-0.5386707870532432,-0.541934065159168,0.010461731102915622,-0.5510442571089145,-0.5502110736277811,-0.5258317588014912,0.024379314826289855,-0.5248192921266143,0.019421381954172253,-0.525818035216677,-0.5419790135380939,-0.01616097832141683,-0.03073492584703238,-3.1545907068249866e-06,39,-0.5248192921266143,10,-0.5510442571089145
MASAC,E1,50,-0.6133306039931886,-0.6198266866174633,0.014124164456404622,-0.627759154809035,-0.624221940411225,-0.5944003613420377,0.029821579069187365,-0.5895927763098163,0.023028631482673378,-0.6210917477015423,-0.5895927763098163,0.03149897139172597,0.05071548850599509,0.00013024993281757707,49,-0.5895927763098163,10,-0.627759154809035
MASAC,E2,50,-0.525538344918139,-0.5282275066808146,0.008997080317898977,-0.5344791460117901,-0.5341580254248073,-0.5128053237043559,0.02135270172045134,-0.5122386797760721,0.017119740937838544,-0.528240462095925,-0.5125064952745902,0.015733966821334766,0.029785614602308864,1.9154898354958104e-05,25,-0.5122386797760721,19,-0.5344791460117901
MASAC,E3,50,-0.540932982848212,-0.5431901089086011,0.010107688067756295,-0.5519228590949066,-0.5511507904264829,-0.5271312239989122,0.024019566427570638,-0.5263098821800003,0.018685656797142566,-0.54328587221065,-0.5263825588275348,0.016903313383115126,0.031113110514607953,3.510012350544196e-05,28,-0.5263098821800003,19,-0.5519228590949066
MATD3,E1,50,-0.6330435627356475,-0.6208251460013352,0.04704873332375358,-0.7408485589329936,-0.6274349276913224,-0.5938589533517973,0.03357597433952508,-0.5917727467841729,0.07432147816247624,-0.7290455099358968,-0.6270644681842904,0.10198104175160638,0.139882957046911,0.0018054952763544177,14,-0.5917727467841729,1,-0.7408485589329936
MATD3,E2,50,-0.5336253446673433,-0.5361115322477781,0.010119365868222067,-0.546346867690215,-0.5412031530952897,-0.5209903361561729,0.020212816939116807,-0.5162682233948295,0.018963428123022114,-0.5379045652431999,-0.5400036063529057,-0.0020990411097058237,-0.003902255614351954,0.00014389837143010477,23,-0.5162682233948295,1,-0.546346867690215
MATD3,E3,50,-0.5503890034083293,-0.5495237712477443,0.0144291060852327,-0.57691164288679,-0.5590878841628275,-0.5331320975053429,0.02595578665748466,-0.5290481534341094,0.026216196173759414,-0.5684158445302419,-0.5606717322690229,0.007744112261218961,0.013624026029075522,0.00030527387535133883,11,-0.5290481534341094,1,-0.57691164288679
