algorithm,scenario,episode,steps,reward_mean_average,reward_sum_total,source
HAPPO,E1,0,8760,-0.7062119254468171,-105169.07993754,Drive pre-resume episode_summary + final results
HAPPO,E1,1,8760,-0.6884911428482089,-102530.10099295528,Drive pre-resume episode_summary + final results
HAPPO,E1,2,8760,-0.6795099016836075,-101192.61455872282,Drive pre-resume episode_summary + final results
HAPPO,E1,3,8760,-0.6421424905977905,-95627.85969982296,Drive pre-resume episode_summary + final results
HAPPO,E1,4,8759,-0.5952638351180066,-88636.57084057653,Drive pre-resume episode_summary + final results
HAPPO,E1,5,8760,-0.5975061495695859,-88980.61579390275,Drive pre-resume episode_summary + final results
HAPPO,E1,6,8760,-0.6201916145068167,-92358.93523235514,Drive pre-resume episode_summary + final results
HAPPO,E1,7,8757,-0.6306120882601179,-93878.59096719549,Drive pre-resume episode_summary + final results
HAPPO,E1,8,8760,-0.6001939929595089,-89380.88943153007,Drive pre-resume episode_summary + final results
HAPPO,E1,9,8760,-0.6230791053384677,-92788.9403670046,Drive pre-resume episode_summary + final results
HAPPO,E1,10,8760,-0.6342545665492888,-94453.19005052008,Drive pre-resume episode_summary + final results
HAPPO,E1,11,8760,-0.6084986870929504,-90617.62448188216,Drive pre-resume episode_summary + final results
HAPPO,E1,12,8760,-0.6271737866578214,-93398.72030908275,Drive pre-resume episode_summary + final results
HAPPO,E1,13,8760,-0.639921907289163,-95297.17043350216,Drive pre-resume episode_summary + final results
HAPPO,E1,14,8760,-0.6094943796917738,-90765.90302369896,Drive pre-resume episode_summary + final results
HAPPO,E1,15,8760,-0.6289115352763557,-93657.5058333549,Drive pre-resume episode_summary + final results
HAPPO,E1,16,8760,-0.6392667313134798,-95199.6016272034,Drive pre-resume episode_summary + final results
HAPPO,E1,17,8760,-0.6086818706255394,-90644.90417355532,Drive pre-resume episode_summary + final results
HAPPO,E1,18,8760,-0.6256190746717769,-93167.19260012102,Drive pre-resume episode_summary + final results
HAPPO,E1,19,8760,-0.6391695909906105,-95185.13549032171,Drive pre-resume episode_summary + final results
HAPPO,E1,20,8747,-0.6059942374291771,-90110.7371114812,Drive pre-resume episode_summary + final results
HAPPO,E1,21,8760,-0.6079785194436272,-90540.16111554496,Drive pre-resume episode_summary + final results
HAPPO,E1,22,8760,-0.6278350501063873,-93497.1956618432,Drive pre-resume episode_summary + final results
HAPPO,E1,23,8760,-0.640304425372565,-95354.1350264824,Drive pre-resume episode_summary + final results
HAPPO,E1,24,8760,-0.6140392072702325,-91442.71874668304,Drive pre-resume episode_summary + final results
HAPPO,E1,25,8760,-0.6302465846057655,-93856.3213794906,Drive pre-resume episode_summary + final results
HAPPO,E1,26,8760,-0.6442752837010614,-95945.47524876206,Drive pre-resume episode_summary + final results
HAPPO,E1,27,8760,-0.6139097306391181,-91423.43708677749,Drive pre-resume episode_summary + final results
HAPPO,E1,28,8760,-0.6327593042070422,-94230.51558251271,Drive pre-resume episode_summary + final results
HAPPO,E1,29,8760,-0.6414070681590277,-95518.3405902424,Drive pre-resume episode_summary + final results
HAPPO,E1,30,8760,-0.6130246159481576,-91291.62580699964,Drive pre-resume episode_summary + final results
HAPPO,E1,31,8749,-0.6303079866851847,-93747.59778364756,Drive pre-resume episode_summary + final results
HAPPO,E1,32,8760,-0.6132851999057946,-91330.43196997092,Drive pre-resume episode_summary + final results
HAPPO,E1,33,8760,-0.632318929378835,-94164.93496309612,Drive pre-resume episode_summary + final results
HAPPO,E1,34,8760,-0.6431848771759834,-95783.09190904743,Drive pre-resume episode_summary + final results
HAPPO,E1,35,8760,-0.6160366968665232,-91740.18489736263,Drive pre-resume episode_summary + final results
HAPPO,E1,36,8760,-0.6355683392273384,-94648.83707773522,Drive pre-resume episode_summary + final results
HAPPO,E1,37,8760,-0.6471171718534506,-96368.68923241588,Drive pre-resume episode_summary + final results
HAPPO,E1,38,8760,-0.618040191774819,-92038.54535910604,Drive pre-resume episode_summary + final results
HAPPO,E1,39,8760,-0.63569612251996,-94667.86656567243,Drive pre-resume episode_summary + final results
HAPPO,E1,40,8760,-0.6452161086781815,-96085.5829043548,Drive pre-resume episode_summary + final results
HAPPO,E1,41,8760,-0.6160556804256133,-91743.01192898232,Drive pre-resume episode_summary + final results
HAPPO,E1,42,8760,-0.6366233050792514,-94805.9425924021,Drive pre-resume episode_summary + final results
HAPPO,E1,43,8760,-0.6479757902500556,-96496.55468403827,Drive pre-resume episode_summary + final results
HAPPO,E1,44,8760,-0.6157080255857069,-91691.23917022347,Drive pre-resume episode_summary + final results
HAPPO,E1,45,8760,-0.6367609229327401,-94826.43664314364,Drive pre-resume episode_summary + final results
HAPPO,E1,46,8760,-0.6465468567128391,-96283.757901676,Drive pre-resume episode_summary + final results
HAPPO,E1,47,8760,-0.6161927932051019,-91763.43076410376,Drive pre-resume episode_summary + final results
HAPPO,E1,48,8760,-0.6341125105363083,-94432.03506906705,Drive pre-resume episode_summary + final results
HAPPO,E1,49,8760,-0.618064939652382,-92042.23081303273,Drive pre-resume episode_summary + final results
HAPPO,E2,0,8760,-0.5430863981455699,-80876.42641183829,Drive pre-resume episode_summary + final results
HAPPO,E2,1,8760,-0.5394617765557689,-80336.6477646851,Drive pre-resume episode_summary + final results
HAPPO,E2,2,8760,-0.5315374302950608,-79156.55411954047,Drive pre-resume episode_summary + final results
HAPPO,E2,3,8760,-0.5067830801313629,-75470.13629316256,Drive pre-resume episode_summary + final results
HAPPO,E2,4,8759,-0.4627288651101499,-68901.71620149666,Drive pre-resume episode_summary + final results
HAPPO,E2,5,8760,-0.4607559602209014,-68615.77759609662,Drive pre-resume episode_summary + final results
HAPPO,E2,6,8760,-0.4766170565931553,-70977.81206785269,Drive pre-resume episode_summary + final results
HAPPO,E2,7,8757,-0.4909295212567794,-73084.1868999755,Drive pre-resume episode_summary + final results
HAPPO,E2,8,8760,-0.4648395307973227,-69223.9029263373,Drive pre-resume episode_summary + final results
HAPPO,E2,9,8760,-0.476233423021135,-70920.68135630742,Drive pre-resume episode_summary + final results
HAPPO,E2,10,8760,-0.4940095269845013,-73567.89875853193,Drive pre-resume episode_summary + final results
HAPPO,E2,11,8760,-0.4666024901159301,-69486.44282806432,Drive pre-resume episode_summary + final results
HAPPO,E2,12,8760,-0.4800290450306308,-71485.92538596154,Drive pre-resume episode_summary + final results
HAPPO,E2,13,8760,-0.490600630693473,-73060.245922872,Drive pre-resume episode_summary + final results
HAPPO,E2,14,8760,-0.463879298688137,-69080.90516063737,Drive pre-resume episode_summary + final results
HAPPO,E2,15,8760,-0.4781583804342716,-71207.34601427174,Drive pre-resume episode_summary + final results
HAPPO,E2,16,8760,-0.4906437286279428,-73066.66406727325,Drive pre-resume episode_summary + final results
HAPPO,E2,17,8760,-0.4628057176173037,-68921.02746756887,Drive pre-resume episode_summary + final results
HAPPO,E2,18,8760,-0.4778256930782465,-71157.80221321248,Drive pre-resume episode_summary + final results
HAPPO,E2,19,8760,-0.4919831569702523,-73266.13173600998,Drive pre-resume episode_summary + final results
HAPPO,E2,20,8747,-0.4640371043826167,-69001.85338459072,Drive pre-resume episode_summary + final results
HAPPO,E2,21,8760,-0.4688204396747063,-69816.73987635726,Drive pre-resume episode_summary + final results
HAPPO,E2,22,8760,-0.4789144225118991,-71319.93580047201,Drive pre-resume episode_summary + final results
HAPPO,E2,23,8760,-0.4933033431831287,-73462.73386683154,Drive pre-resume episode_summary + final results
HAPPO,E2,24,8760,-0.4652991851212606,-69292.35464825813,Drive pre-resume episode_summary + final results
HAPPO,E2,25,8760,-0.4794950370224856,-71406.40091338856,Drive pre-resume episode_summary + final results
HAPPO,E2,26,8760,-0.4927981563515978,-73387.50144387994,Drive pre-resume episode_summary + final results
HAPPO,E2,27,8760,-0.468999774700398,-69843.44644838327,Drive pre-resume episode_summary + final results
HAPPO,E2,28,8760,-0.4842479363791899,-72114.20268558897,Drive pre-resume episode_summary + final results
HAPPO,E2,29,8760,-0.4950956144191894,-73729.63889930569,Drive pre-resume episode_summary + final results
HAPPO,E2,30,8760,-0.4682498861927679,-69731.773051827,Drive pre-resume episode_summary + final results
HAPPO,E2,31,8749,-0.4817833171351308,-71657.07810745941,Drive pre-resume episode_summary + final results
HAPPO,E2,32,8760,-0.4705860959793916,-70079.681413251,Drive pre-resume episode_summary + final results
HAPPO,E2,33,8760,-0.4829501026535276,-71920.92928716334,Drive pre-resume episode_summary + final results
HAPPO,E2,34,8760,-0.4966271911683815,-73957.72130879537,Drive pre-resume episode_summary + final results
HAPPO,E2,35,8760,-0.4694604864583044,-69912.0556433707,Drive pre-resume episode_summary + final results
HAPPO,E2,36,8760,-0.4828980959063895,-71913.18444237953,Drive pre-resume episode_summary + final results
HAPPO,E2,37,8760,-0.4961455225954521,-73885.99122491473,Drive pre-resume episode_summary + final results
HAPPO,E2,38,8760,-0.4700666261018291,-70002.3219590844,Drive pre-resume episode_summary + final results
HAPPO,E2,39,8760,-0.4840218275873937,-72080.53056431467,Drive pre-resume episode_summary + final results
HAPPO,E2,40,8760,-0.498637860022895,-74257.15011460954,Drive pre-resume episode_summary + final results
HAPPO,E2,41,8760,-0.4711252354415355,-70159.97006195347,Drive pre-resume episode_summary + final results
HAPPO,E2,42,8760,-0.4859511470092355,-72367.84481261535,Drive pre-resume episode_summary + final results
HAPPO,E2,43,8760,-0.5016096546463357,-74699.70976993232,Drive pre-resume episode_summary + final results
HAPPO,E2,44,8760,-0.4757257935811949,-70845.08518011154,Drive pre-resume episode_summary + final results
HAPPO,E2,45,8760,-0.4865498057069974,-72456.99706588605,Drive pre-resume episode_summary + final results
HAPPO,E2,46,8760,-0.5007265378784168,-74568.19602085384,Drive pre-resume episode_summary + final results
HAPPO,E2,47,8760,-0.4733727008768073,-70494.66261457413,Drive pre-resume episode_summary + final results
HAPPO,E2,48,8760,-0.488585151399759,-72760.10074645211,Drive pre-resume episode_summary + final results
HAPPO,E2,49,8760,-0.47709955993467407,-71049.66646547166,Drive pre-resume episode_summary + final results
HAPPO,E3,0,8760,-0.569580484648387,-84821.92577383778,Drive pre-resume episode_summary + final results
HAPPO,E3,1,8760,-0.5631374619959754,-83862.43084044065,Drive pre-resume episode_summary + final results
HAPPO,E3,2,8760,-0.5601674926691091,-83420.14300828375,Drive pre-resume episode_summary + final results
HAPPO,E3,3,8760,-0.5380269053842299,-80122.96674981952,Drive pre-resume episode_summary + final results
HAPPO,E3,4,8759,-0.494647246271114,-73654.45891150768,Drive pre-resume episode_summary + final results
HAPPO,E3,5,8760,-0.4949520908490408,-73708.26536923915,Drive pre-resume episode_summary + final results
HAPPO,E3,6,8760,-0.5118297678543742,-76221.6890288734,Drive pre-resume episode_summary + final results
HAPPO,E3,7,8757,-0.5253315287725846,-78205.5793568459,Drive pre-resume episode_summary + final results
HAPPO,E3,8,8760,-0.5003812463997133,-74516.77521384529,Drive pre-resume episode_summary + final results
HAPPO,E3,9,8760,-0.5154316963764549,-76758.08822438167,Drive pre-resume episode_summary + final results
HAPPO,E3,10,8760,-0.5294073554246426,-78839.34336983776,Drive pre-resume episode_summary + final results
HAPPO,E3,11,8760,-0.5040731757989825,-75066.57733998448,Drive pre-resume episode_summary + final results
HAPPO,E3,12,8760,-0.5185985115934882,-77229.69034650228,Drive pre-resume episode_summary + final results
HAPPO,E3,13,8760,-0.5308107709633347,-79048.34001185981,Drive pre-resume episode_summary + final results
HAPPO,E3,14,8760,-0.5040879616513111,-75068.77924911326,Drive pre-resume episode_summary + final results
HAPPO,E3,15,8760,-0.5168508912006553,-76969.43471760159,Drive pre-resume episode_summary + final results
HAPPO,E3,16,8760,-0.5286336250627718,-78724.11944434798,Drive pre-resume episode_summary + final results
HAPPO,E3,17,8760,-0.4991184842485415,-74328.7246742928,Drive pre-resume episode_summary + final results
HAPPO,E3,18,8760,-0.5146884366480945,-76647.40198563423,Drive pre-resume episode_summary + final results
HAPPO,E3,19,8760,-0.5292700473765485,-78818.89545531559,Drive pre-resume episode_summary + final results
HAPPO,E3,20,8747,-0.5003232071289881,-74397.56057687341,Drive pre-resume episode_summary + final results
HAPPO,E3,21,8760,-0.506087546316704,-75366.55739748357,Drive pre-resume episode_summary + final results
HAPPO,E3,22,8760,-0.51901520060317,-77291.74367382406,Drive pre-resume episode_summary + final results
HAPPO,E3,23,8760,-0.5313840052085917,-79133.7060556635,Drive pre-resume episode_summary + final results
HAPPO,E3,24,8760,-0.5053603108299534,-75258.25748879666,Drive pre-resume episode_summary + final results
HAPPO,E3,25,8760,-0.5179335038259507,-77130.65738976057,Drive pre-resume episode_summary + final results
HAPPO,E3,26,8760,-0.5313902447751588,-79134.63525191665,Drive pre-resume episode_summary + final results
HAPPO,E3,27,8760,-0.5044739399459407,-75126.25913674949,Drive pre-resume episode_summary + final results
HAPPO,E3,28,8760,-0.5182176668845656,-77172.97495244951,Drive pre-resume episode_summary + final results
HAPPO,E3,29,8760,-0.5327779062944397,-79341.28580536797,Drive pre-resume episode_summary + final results
HAPPO,E3,30,8760,-0.5036270471715821,-75000.139864792,Drive pre-resume episode_summary + final results
HAPPO,E3,31,8749,-0.5186502075397844,-77140.40131801476,Drive pre-resume episode_summary + final results
HAPPO,E3,32,8760,-0.5100392905747564,-75955.05115239273,Drive pre-resume episode_summary + final results
HAPPO,E3,33,8760,-0.5234921851124064,-77958.45620693956,Drive pre-resume episode_summary + final results
HAPPO,E3,34,8760,-0.5352715190643845,-79712.63461906815,Drive pre-resume episode_summary + final results
HAPPO,E3,35,8760,-0.5073685515581575,-75557.32469804083,Drive pre-resume episode_summary + final results
HAPPO,E3,36,8760,-0.5205069711765683,-77513.89814761456,Drive pre-resume episode_summary + final results
HAPPO,E3,37,8760,-0.5347685656254954,-79637.73479294877,Drive pre-resume episode_summary + final results
HAPPO,E3,38,8760,-0.5075704888438032,-75587.39719861916,Drive pre-resume episode_summary + final results
HAPPO,E3,39,8760,-0.5218720739657974,-77717.18925498656,Drive pre-resume episode_summary + final results
HAPPO,E3,40,8760,-0.538562516453073,-80202.72995019163,Drive pre-resume episode_summary + final results
HAPPO,E3,41,8760,-0.5091253865516895,-75818.9525652776,Drive pre-resume episode_summary + final results
HAPPO,E3,42,8760,-0.5227331759245752,-77845.42455868775,Drive pre-resume episode_summary + final results
HAPPO,E3,43,8760,-0.5383579239560206,-80172.26203553058,Drive pre-resume episode_summary + final results
HAPPO,E3,44,8760,-0.5112322215360424,-76132.70243114745,Drive pre-resume episode_summary + final results
HAPPO,E3,45,8760,-0.5254207042265499,-78245.65127341781,Drive pre-resume episode_summary + final results
HAPPO,E3,46,8760,-0.5399420106711393,-80408.16422914607,Drive pre-resume episode_summary + final results
HAPPO,E3,47,8760,-0.5124714415840971,-76317.24708070373,Drive pre-resume episode_summary + final results
HAPPO,E3,48,8760,-0.5228749893175955,-77866.54340917632,Drive pre-resume episode_summary + final results
HAPPO,E3,49,8760,-0.5147201631677909,-76652.12669894742,Drive pre-resume episode_summary + final results
MAAC,E1,0,8760,-0.5901762890098425,-87889.05295934575,Drive results.json episode_summaries
MAAC,E1,1,8760,-0.6158340938365912,-91710.01325414516,Drive results.json episode_summaries
MAAC,E1,2,8760,-0.6214699934294116,-92549.31142150797,Drive results.json episode_summaries
MAAC,E1,3,8760,-0.5887203280144205,-87672.2312479075,Drive results.json episode_summaries
MAAC,E1,4,8760,-0.6148209665559623,-91559.13833951391,Drive results.json episode_summaries
MAAC,E1,5,8760,-0.6197123447469262,-92287.56237971224,Drive results.json episode_summaries
MAAC,E1,6,8760,-0.5872629086589058,-87455.19235748425,Drive results.json episode_summaries
MAAC,E1,7,8752,-0.6141767113086881,-91379.66781535186,Drive results.json episode_summaries
MAAC,E1,8,8760,-0.5857070844125036,-87223.49901071005,Drive results.json episode_summaries
MAAC,E1,9,8760,-0.61424755313666,-91473.74561311142,Drive results.json episode_summaries
