axis,scenario,test,n_blocks,algorithms,statistic,p_value,kendall_w,significant,algorithm_1,algorithm_2,n_pairs,wilcoxon_statistic,p_raw,median_difference_effect_pct,rank_biserial,p_holm,significant_holm
OE1,E1,Friedman,3.0,4.0,1.8000000000000043,0.6149349357825364,0.20000000000000048,False,,,,,,,,,
OE1,E1,,,,,,,,HAPPO,MAAC,3.0,2.0,0.75,-7.291541441973103,-0.3333333333333333,1.0,False
OE1,E1,,,,,,,,HAPPO,MASAC,3.0,2.0,0.75,-6.1939890203040795,-0.3333333333333333,1.0,False
OE1,E1,,,,,,,,HAPPO,MATD3,3.0,2.0,0.75,-8.27335105732083,-0.3333333333333333,1.0,False
OE1,E1,,,,,,,,MAAC,MASAC,3.0,2.0,0.75,1.0975524216690236,0.3333333333333333,1.0,False
OE1,E1,,,,,,,,MAAC,MATD3,3.0,0.0,0.25,-0.9818096153477285,-1.0,1.0,False
OE1,E1,,,,,,,,MASAC,MATD3,3.0,1.0,0.5,-2.079362037016752,-0.6666666666666666,1.0,False
OE2,E2,Friedman,17.0,4.0,39.35294117647061,1.4611307640126444e-08,0.7716262975778551,True,,,,,,,,,
OE2,E2,,,,,,,,HAPPO,MAAC,17.0,0.0,1.52587890625e-05,-30.721825633718474,-1.0,9.1552734375e-05,True
OE2,E2,,,,,,,,HAPPO,MASAC,17.0,0.0,1.52587890625e-05,-28.61759150132672,-1.0,9.1552734375e-05,True
OE2,E2,,,,,,,,HAPPO,MATD3,17.0,0.0,1.52587890625e-05,-32.88278057320187,-1.0,9.1552734375e-05,True
OE2,E2,,,,,,,,MAAC,MASAC,17.0,46.0,0.1593780517578125,0.23324835873457017,0.39869281045751637,0.1593780517578125,False
OE2,E2,,,,,,,,MAAC,MATD3,17.0,31.0,0.030517578125,-1.4840329177809128,-0.5947712418300654,0.06103515625,False
OE2,E2,,,,,,,,MASAC,MATD3,17.0,18.0,0.00384521484375,-2.42623493381502,-0.7647058823529411,0.01153564453125,True
OE3,E3,Friedman,17.0,4.0,6.035294117647084,0.10990565877943162,0.11833910034602124,False,,,,,,,,,
OE3,E3,,,,,,,,HAPPO,MAAC,17.0,31.0,0.030517578125,41.263561770121065,0.5947712418300654,0.1220703125,False
OE3,E3,,,,,,,,HAPPO,MASAC,17.0,32.0,0.0347900390625,40.51602461683681,0.5816993464052288,0.1220703125,False
OE3,E3,,,,,,,,HAPPO,MATD3,17.0,27.0,0.017425537109375,52.89214353498566,0.6470588235294118,0.10455322265625,False
OE3,E3,,,,,,,,MAAC,MASAC,17.0,52.0,0.2633209228515625,0.08973716905738874,0.3202614379084967,0.2633209228515625,False
OE3,E3,,,,,,,,MAAC,MATD3,17.0,29.0,0.023223876953125,2.844243514621435,0.6209150326797386,0.116119384765625,False
OE3,E3,,,,,,,,MASAC,MATD3,17.0,31.0,0.030517578125,1.7742132948868632,0.5947712418300654,0.1220703125,False
