axis,scenario,dimension,algorithm,primary_metric,baseline,control,control_minus_baseline,favorable_effect_percent,peak_average,ramping_average,one_minus_load_factor_average,unit,rank_within_objective
OE1,E1,Flexibilidad energética,HAPPO,flex_composite,1.0,1.110540805709955,0.11054080570995506,-11.054080570995506,1.3903228238073362,1.0839090593092051,0.8573905340133239,ratio CityLearn; baseline=1,4
OE2,E2,Emisiones de CO₂,HAPPO,carbon_emissions_total,9144881.242106719,11999741.10905805,2854859.8669513315,-31.218118544901447,,,,kgCO2,4
OE3,E3,Costos energéticos,HAPPO,electricity_cost_total,7155283.926301469,7368356.081858005,213072.15555653628,-2.977829499865454,,,,EUR,4
OE1,E1,Flexibilidad energética,MAAC,flex_composite,1.0,1.0124257995412176,0.012425799541217586,-1.2425799541217586,1.0307016374943516,1.010993644889474,0.9955821162398271,ratio CityLearn; baseline=1,2
OE2,E2,Emisiones de CO₂,MAAC,carbon_emissions_total,10417831.77047322,10558754.019475915,140922.24900269508,-1.35270229072142,,,,kgCO2,2
OE3,E3,Costos energéticos,MAAC,electricity_cost_total,7093803.197904205,7112781.500188709,18978.302284504287,-0.2675335325077984,,,,EUR,1
OE1,E1,Flexibilidad energética,MASAC,flex_composite,1.0,1.028552547361268,0.028552547361268,-2.8552547361268,1.0850627613699078,1.0219691691061643,0.9786257116077314,ratio CityLearn; baseline=1,3
OE2,E2,Emisiones de CO₂,MASAC,carbon_emissions_total,9088297.682261093,9243171.298157984,154873.6158968918,-1.704099285823135,,,,kgCO2,3
OE3,E3,Costos energéticos,MASAC,electricity_cost_total,7106081.274015802,7145558.689493987,39477.41547818482,-0.5555441030844736,,,,EUR,2
OE1,E1,Flexibilidad energética,MATD3,flex_composite,1.0,1.0009229901555254,0.0009229901555254383,-0.09229901555254383,1.0081243650776304,1.0011755487359968,0.9934690566529493,ratio CityLearn; baseline=1,1
OE2,E2,Emisiones de CO₂,MATD3,carbon_emissions_total,10973717.965442343,11019732.720185794,46014.75474345125,-0.41931781815750746,,,,kgCO2,1
OE3,E3,Costos energéticos,MATD3,electricity_cost_total,9646089.516004698,9734645.597044019,88556.08103932068,-0.91805161969925,,,,EUR,3
