axis,scenario,dimension,metric,algorithm,n_episodes,mean,median,std,min,max
OE1,E1,Flexibilidad energetica,reward_mean,HAPPO,49,-0.6302595084115008,-0.6303079866851847,0.0212941749740998,-0.7062119254468171,-0.5952638351180066
OE1,E1,Flexibilidad energetica,reward_mean,MAAC,50,-0.6051573274768176,-0.6126499299083629,0.01469522304963422,-0.6214699934294116,-0.5844288248600668
OE1,E1,Flexibilidad energetica,reward_mean,MASAC,50,-0.6133306039931886,-0.6198266866174633,0.014124164456404622,-0.627759154809035,-0.5895927763098163
OE1,E1,Flexibilidad energetica,reward_mean,MATD3,50,-0.6330435627356475,-0.6208251460013352,0.04704873332375358,-0.7408485589329936,-0.5917727467841729
OE2,E2,Emisiones de CO2,district_emission,HAPPO,49,883.002641347598,804.8168544769287,287.03414493768634,468.0088188648224,1524.4026834964752
OE2,E2,Emisiones de CO2,district_emission,MAAC,50,1056.3903547742964,1132.6330785155296,99.38122954609372,873.2478264793754,1139.5708111524582
OE2,E2,Emisiones de CO2,district_emission,MASAC,50,1078.3684531803428,1132.6354122161863,121.10072678518512,925.744892977178,1638.739361666143
OE2,E2,Emisiones de CO2,district_emission,MATD3,50,1132.1936166521907,1137.4043860435486,236.78448667789124,925.7448759749532,1864.838984489441
OE3,E3,Costos energeticos,district_cost,HAPPO,49,352.5740728388179,232.48682975769043,381.71262806025305,-4.816800355911255e-06,1415.9390910863876
OE3,E3,Costos energeticos,district_cost,MAAC,50,795.3938091005385,689.5406326055527,211.95614407345911,643.3719779960811,1138.8163677453997
OE3,E3,Costos energeticos,district_cost,MASAC,50,812.1612727615982,689.5406340360641,206.37617819223814,643.3719608299434,1192.3209606409073
OE3,E3,Costos energeticos,district_cost,MATD3,50,759.2885912102461,690.9834417104721,303.87941031021427,13.438952386379242,1143.6113492250445
