scope,scenario,algorithm_a,algorithm_b,n_a,n_b,median_a,median_b,u_statistic,p_value,cliffs_delta_a_minus_b,p_holm,significant_holm,decision
OE1,E1,MAAC,MASAC,12,12,-0.00118732324963615,-0.01363297268151955,89.0,0.33856376873308536,0.2361111111111111,0.849802924347629,False,diferencia por pares no detectada
OE1,E1,MAAC,MATD3,12,12,-0.00118732324963615,-0.0028928315365372003,67.5,0.8168521685713543,-0.0625,0.849802924347629,False,diferencia por pares no detectada
OE1,E1,MASAC,MATD3,12,12,-0.01363297268151955,-0.0028928315365372003,53.0,0.2832676414492097,-0.2638888888888889,0.849802924347629,False,diferencia por pares no detectada
OE2,E2,MAAC,MASAC,5,5,-0.0469962875520018,-0.0516395919726959,15.0,0.6643894431719991,0.2,1.0,False,diferencia por pares no detectada
OE2,E2,MAAC,MATD3,5,5,-0.0469962875520018,-0.0421428734111501,10.0,0.6643894431719991,-0.2,1.0,False,diferencia por pares no detectada
OE2,E2,MASAC,MATD3,5,5,-0.0516395919726959,-0.0421428734111501,10.0,0.6643894431719991,-0.2,1.0,False,diferencia por pares no detectada
OE3,E3,MAAC,MASAC,9,9,-0.0026753353250779,-0.0140263945284846,49.0,0.4771880954605209,0.20987654320987653,1.0,False,diferencia por pares no detectada
OE3,E3,MAAC,MATD3,9,9,-0.0026753353250779,-0.0091805161969924,44.0,0.7898062990267091,0.08641975308641975,1.0,False,diferencia por pares no detectada
OE3,E3,MASAC,MATD3,9,9,-0.0140263945284846,-0.0091805161969924,35.0,0.6568472038960836,-0.13580246913580246,1.0,False,diferencia por pares no detectada
GLOBAL,E1+E2+E3,MAAC,MASAC,26,26,-0.01226033389834405,-0.0195050809821978,393.0,0.314721404937247,0.16272189349112426,0.629442809874494,False,diferencia por pares no detectada
GLOBAL,E1+E2+E3,MAAC,MATD3,26,26,-0.01226033389834405,-0.0069394580653121,325.5,0.8250918770066288,-0.03698224852071006,0.8250918770066288,False,diferencia por pares no detectada
GLOBAL,E1+E2+E3,MASAC,MATD3,26,26,-0.0195050809821978,-0.0069394580653121,269.0,0.20636531233404654,-0.20414201183431951,0.6190959370021396,False,diferencia por pares no detectada
