scope,scenario,algorithm_a,algorithm_b,n_pairs,median_difference_a_minus_b,w_statistic,p_value,p_holm,significant_holm,decision
OE1,E1,MAAC,MASAC,12,0.0006240856363509499,7.0,0.03665792867221451,0.10997378601664354,False,diferencia por pares no detectada
OE1,E1,MAAC,MATD3,12,-0.00022430953151155003,17.0,0.5143004874563052,0.5143004874563052,False,diferencia por pares no detectada
OE1,E1,MASAC,MATD3,12,-0.00107270469937405,14.0,0.1688069535565081,0.3376139071130162,False,diferencia por pares no detectada
OE2,E2,MAAC,MASAC,5,0.0035139699510171995,0.0,0.10247043485974937,0.3074113045792481,False,diferencia por pares no detectada
OE2,E2,MAAC,MATD3,5,-0.004853414140851706,0.0,0.10247043485974937,0.3074113045792481,False,diferencia por pares no detectada
OE2,E2,MASAC,MATD3,5,-0.009496718561545804,0.0,0.10247043485974937,0.3074113045792481,False,diferencia por pares no detectada
OE3,E3,MAAC,MASAC,9,0.0028801057057668005,6.0,0.17552335081205495,0.5265700524361648,False,diferencia por pares no detectada
OE3,E3,MAAC,MATD3,9,0.0021249508020548006,13.0,0.8657723749926214,1.0,False,diferencia por pares no detectada
OE3,E3,MASAC,MATD3,9,0.0,11.0,0.6114529869535043,1.0,False,diferencia por pares no detectada
GLOBAL,E1+E2+E3,MAAC,MASAC,26,0.0028801057057668,31.0,0.005725540228364647,0.01717662068509394,True,diferencia por pares detectada
GLOBAL,E1+E2+E3,MAAC,MATD3,26,0.0,69.0,0.295326279736878,0.295326279736878,False,diferencia por pares no detectada
GLOBAL,E1+E2+E3,MASAC,MATD3,26,-0.000536352349687,54.0,0.05687139235482615,0.1137427847096523,False,diferencia por pares no detectada
