scope,scenario,algorithm,n_kpis,mean_gain,median_gain,statistic,p_value,p_holm,significant_holm,direction,decision
OE1,E1,MAAC,12,-0.08877804446842204,-0.00118732324963615,25.0,0.30126953125,0.6025390625,False,desfavorable,impacto frente al baseline no detectado
OE1,E1,MASAC,12,-0.26208705205762406,-0.01363297268151955,9.0,0.01611328125,0.04833984375,True,desfavorable,impacto frente al baseline detectado
OE1,E1,MATD3,12,-0.0868396232888781,-0.0028928315365372003,27.0,0.38037109375,0.6025390625,False,desfavorable,impacto frente al baseline no detectado
OE2,E2,MAAC,5,-0.414810066673286,-0.0469962875520018,0.0,0.0625,0.1875,False,desfavorable,impacto frente al baseline no detectado
OE2,E2,MASAC,5,-0.41714431553783166,-0.0516395919726959,0.0,0.0625,0.1875,False,desfavorable,impacto frente al baseline no detectado
OE2,E2,MATD3,5,-0.41010584595486,-0.0421428734111501,0.0,0.0625,0.1875,False,desfavorable,impacto frente al baseline no detectado
OE3,E3,MAAC,9,-0.22779851501145254,-0.0026753353250779,5.0,0.0390625,0.078125,False,desfavorable,impacto frente al baseline no detectado
OE3,E3,MASAC,9,-0.23553360192520248,-0.0140263945284846,5.0,0.0390625,0.078125,False,desfavorable,impacto frente al baseline no detectado
OE3,E3,MATD3,9,-0.22590642631946764,-0.0091805161969924,3.0,0.01953125,0.05859375,False,desfavorable,impacto frente al baseline no detectado
GLOBAL,E1+E2+E3,MAAC,26,-0.19959898084963726,-0.01226033389834405,53.0,0.0011651217937469482,0.0023302435874938965,True,desfavorable,impacto frente al baseline detectado
GLOBAL,E1+E2+E3,MASAC,26,-0.2827141776810565,-0.0195050809821978,29.0,5.1647424697875977e-05,0.00015494227409362793,True,desfavorable,impacto frente al baseline detectado
GLOBAL,E1+E2+E3,MATD3,26,-0.1971447133121556,-0.0069394580653121,62.0,0.002932935953140259,0.002932935953140259,True,desfavorable,impacto frente al baseline detectado
