algorithm,scenario,oe,primary_metric,best_building_id,best_agent,best_nombre,best_tipo_uso,best_value,battery_throughput_kwh,ev_charge_kwh,ev_departure_success_ratio,grid_role_control
HAPPO,E1,OE.1,flex_gain_vs_baseline,11,Building_11,HOSPITAL REGIONAL DE LORETO,Healthcare_Hospital,0.002190257324356626,438444.93662976136,1979.7644637934864,0.4150559511698881,net_exporter
HAPPO,E2,OE.2,co2_reduction_kgco2,9,Building_9,GOBIERNO REGIONAL DE LORETO - COER,Office_Critical,-6059.6923660189495,99087.2746819969,5925.502091227099,0.5733622089875474,net_exporter
HAPPO,E3,OE.3,cost_reduction_eur,11,Building_11,HOSPITAL REGIONAL DE LORETO,Healthcare_Hospital,193217.95855132013,1267328.1678138687,1741.4759538322687,0.4537131230925738,net_exporter
MASAC,E1,OE.1,flex_gain_vs_baseline,5,Building_5,HOTEL PLAZA S.A.,MultiFamily_Hotel,-0.005162221239393139,7073.973438132634,254.56127274036407,0.04423592493297587,net_importer
MASAC,E2,OE.2,co2_reduction_kgco2,9,Building_9,GOBIERNO REGIONAL DE LORETO - COER,Office_Critical,-847.4506514802306,3618.1356806811946,243.96209025382996,0.02165674066053059,net_exporter
MASAC,E3,OE.3,cost_reduction_eur,11,Building_11,HOSPITAL REGIONAL DE LORETO,Healthcare_Hospital,2304.438581703289,28455.855886723788,493.87172162532806,0.06510681586978637,net_exporter
MATD3,E1,OE.1,flex_gain_vs_baseline,14,Building_14,AUTORIDAD PORTUARIA NACIONAL,Industrial_Port,0.12673403551340046,64.33050727844238,0.0,0.0,net_exporter
MATD3,E2,OE.2,co2_reduction_kgco2,12,Building_12,SEGURO SOCIAL DE SALUD - ESSALUD,Healthcare,2163.488812311087,1223.2149353027344,0.0,0.0,net_exporter
MATD3,E3,OE.3,cost_reduction_eur,12,Building_12,SEGURO SOCIAL DE SALUD - ESSALUD,Healthcare,2672.0535701428307,1223.2149353027344,0.0,0.0,net_exporter
MAAC,E1,OE.1,flex_gain_vs_baseline,5,Building_5,HOTEL PLAZA S.A.,MultiFamily_Hotel,-0.0023356290683402836,4820.243452208889,203.1743505001068,0.049597855227882036,net_importer
MAAC,E2,OE.2,co2_reduction_kgco2,2,Building_2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,Office,-714.7335240736975,3220.078354600206,59.778337717056274,0.016605166051660517,net_exporter
MAAC,E3,OE.3,cost_reduction_eur,14,Building_14,AUTORIDAD PORTUARIA NACIONAL,Industrial_Port,683.7813220831522,6435.289774752659,450.7670795917511,0.010067114093959731,net_exporter
