rank,algorithm,scenario,oe,metric,higher_is_better,building_id,agent,nombre,tipo_uso,value,import_ratio_to_baseline,co2_reduction_kgco2,cost_reduction_eur,battery_throughput_kwh,ev_charge_kwh,ev_departure_success_ratio,grid_role_control
1,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,11,Building_11,HOSPITAL REGIONAL DE LORETO,Healthcare_Hospital,0.002190257324356626,0.9978097426756434,-1786.5240412474377,70213.15715902808,438444.93662976136,1979.7644637934864,0.4150559511698881,net_exporter
2,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,10,Building_10,GOBIERNO REGIONAL DE LORETO,Office,-0.05287878259833145,1.0528787825983315,-20655.88024024153,3649.950001555553,85302.08547103281,22074.408289087936,0.6941448382126348,net_exporter
3,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,5,Building_5,HOTEL PLAZA S.A.,MultiFamily_Hotel,-0.07788474206791873,1.0778847420679187,-22655.417267544835,3105.2580766811443,118979.60000353181,2085.5104294866323,0.6501340482573726,net_importer
4,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,4,Building_4,HIPERMERCADOS TOTTUS ORIENTE SAC,Retail,-0.08748857290074685,1.0874885729007469,-38419.75135437754,-8482.820506508113,118968.90414452567,9119.660210248083,0.6122019635343618,net_importer
5,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,6,Building_6,MALL AVENTURA S.A.,Commercial_Mall,-0.10378634035620649,1.1037863403562065,-274788.503764065,-244153.1196982197,1461362.3031242578,26128.51932900399,0.4423197886526607,net_importer
6,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,9,Building_9,GOBIERNO REGIONAL DE LORETO - COER,Office_Critical,-0.12177983100655054,1.1217798310065505,-2588.89130596643,4468.866998696031,20386.27785569933,6177.286766605452,0.5083919870059556,net_exporter
7,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,1,Building_1,ELECTRO ORIENTE S.A.,Office,-0.12978420644325595,1.129784206443256,-369537.0895173517,-164231.1399885537,1810194.749900553,14841.69085293077,0.5865800865800865,net_importer
8,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,16,Building_16,SIMA - IQUITOS S.R.LTDA,Industrial,-0.14428376223033812,1.1442837622303381,-36282.53238121088,87685.63482960037,805769.6588241803,7036.723483730108,0.6601031411157994,net_exporter
9,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,12,Building_12,SEGURO SOCIAL DE SALUD - ESSALUD,Healthcare,-0.18341671760177913,1.1834167176017791,-149677.0954805113,26924.683624654077,1761456.8992410703,9377.641594192013,0.5791666666666667,net_exporter
10,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,13,Building_13,UNAP-FACULTAD DE CIENCIAS AD..CONTABLES Y ECO,Education,-0.19087193196024987,1.1908719319602499,-3856.0489610386794,1579.3360273852468,11648.857552776799,5264.1871296893805,0.5401387512388504,net_exporter
11,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,15,Building_15,DREL- COLEGIO NACIONAL DE IQUITOS,Education,-0.22187347234321098,1.221873472343211,-14612.609330124033,7439.1833670505985,102966.66718196764,6615.118463806808,0.4026058631921824,net_exporter
12,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,7,Building_7,UNAP-FACULTAD DE BIOLOGIA-AULAS,Education,-0.2788801175686606,1.2788801175686606,-14719.636729399004,8089.208531212695,126094.30274218187,26756.941616261378,0.5410994091959928,net_exporter
13,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,17,Building_17,ASOCIACION CIVIL SELVA AMAZONICA,Laboratory,-0.46954806103147684,1.4695480610314768,-64696.73002119054,-17230.222022801827,273385.04808292416,8993.760839650407,0.5643939393939394,net_exporter
14,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,2,Building_2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,Office,-1.0409857217912815,2.0409857217912815,-23763.897270524416,3965.4233908891692,86816.05777421777,1998.9178407900035,0.4114391143911439,net_exporter
15,HAPPO,E1,OE.1,flex_gain_vs_baseline,True,3,Building_3,AEROPUERTO INTERNACIONAL,Assembly,-1.1753472876911535,2.1753472876911535,-398209.33376776724,-142188.17758614896,1346095.7315019658,21462.234931595623,0.481437125748503,net_exporter
