rank,scenario,oe,metric,algorithm,value,flex_composite,carbon_emissions_delta,electricity_cost_delta,ev_departure_success_rate,battery_throughput_total
1,E1,OE.1,flex_composite,MATD3,1.0009229901555254,1.0009229901555254,36723.33566290968,33074.53857720466,,8490.250799538378
2,E1,OE.1,flex_composite,MAAC,1.0124257995412176,1.0124257995412176,38565.84588019649,3628.0400708369775,,341025.2909646616
3,E1,OE.1,flex_composite,MASAC,1.028552547361268,1.028552547361268,81226.6231709392,14672.49268599316,,624333.4491729945
4,E1,OE.1,flex_composite,HAPPO,1.110540805709955,1.110540805709955,777838.6068301143,186408.60670836945,,8854830.572854016
1,E2,OE.2,carbon_emissions_delta,MATD3,23070.418478806503,1.0006689541887155,23070.418478806503,13934.67084307495,,9484.482418287756
2,E2,OE.2,carbon_emissions_delta,MAAC,70654.19071758597,1.0171790556280067,70654.19071758597,13275.329877851962,,604113.0413591035
3,E2,OE.2,carbon_emissions_delta,MASAC,77648.98780810599,1.0317819840161462,77648.98780810599,15020.275212663882,,637947.5150785556
4,E2,OE.2,carbon_emissions_delta,HAPPO,1431341.146902246,1.1432627766377035,1431341.146902246,-97229.96355094147,,16728200.15948116
1,E3,OE.3,electricity_cost_delta,MAAC,9515.151784724349,1.0137827049181145,73411.2486337313,9515.151784724349,,615244.839861477
2,E3,OE.3,electricity_cost_delta,MASAC,19792.792564499217,1.0297032332352678,90899.7612329599,19792.792564499217,,717013.0966121654
3,E3,OE.3,electricity_cost_delta,MATD3,44399.364069434494,1.0006144030419286,41293.40711950582,44399.364069434494,,9011.283712025453
4,E3,OE.3,electricity_cost_delta,HAPPO,106827.9907668146,1.1402403210675718,1106940.2269813095,106827.9907668146,,14193059.933626752
