cost_function,level,name,value
building_battery_health_capacity_fade_ratio,building,Building_1,0.00025669550579985424
building_battery_health_equivalent_full_cycles_count,building,Building_1,106.47917631295266
building_battery_total_charge_kwh,building,Building_1,777585.1540904343
building_battery_total_discharge_kwh,building,Building_1,659244.8510765488
building_battery_total_throughput_kwh,building,Building_1,1436830.0051669832
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_1,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_1,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_1,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_1,nan
building_cost_daily_average_baseline_eur,building,Building_1,4701.818297037147
building_cost_daily_average_control_eur,building,Building_1,4828.572716027825
building_cost_daily_average_delta_eur,building,Building_1,126.75441899067825
building_cost_ratio_to_baseline_total_ratio,building,Building_1,1.0269585957991088
building_cost_total_baseline_eur,building,Building_1,1715967.7693228486
building_cost_total_control_eur,building,Building_1,1762227.8508203216
building_cost_total_delta_eur,building,Building_1,46260.081497472944
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_1,0.06759167463433498
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_1,1247.9327392578125
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_1,1246.8065185546875
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_1,1248.7401123046875
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_1,760.9352416992188
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_1,763.0659790039062
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_1,762.7769165039062
building_electrical_service_phase_violations_energy_total_kwh,building,Building_1,0.0
building_electrical_service_phase_violations_event_count,building,Building_1,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_1,7890.52055812937
building_emissions_daily_average_control_kgco2,building,Building_1,8282.430808372075
building_emissions_daily_average_delta_kgco2,building,Building_1,391.91025024270556
building_emissions_ratio_to_baseline_total_ratio,building,Building_1,1.0496684911160814
building_emissions_total_baseline_kgco2,building,Building_1,2879711.232027298
building_emissions_total_control_kgco2,building,Building_1,3022742.1437721252
building_emissions_total_delta_kgco2,building,Building_1,143030.9117448274
building_energy_grid_daily_average_export_baseline_kwh,building,Building_1,4815.878700409541
building_energy_grid_daily_average_export_control_kwh,building,Building_1,5000.195823352636
building_energy_grid_daily_average_export_delta_kwh,building,Building_1,184.31712294309457
building_energy_grid_daily_average_import_baseline_kwh,building,Building_1,10241.949964102061
building_energy_grid_daily_average_import_control_kwh,building,Building_1,10749.473236919852
building_energy_grid_daily_average_import_delta_kwh,building,Building_1,507.5232728177901
