metric,value
battery_capacity_fade_ratio,0.0005402847001329172
battery_charge_total,5472726.657080317
battery_discharge_total,4646300.516930651
battery_equivalent_full_cycles,192.62596463129074
battery_throughput_total,10119027.174010966
carbon_emissions,1.4052191906443487
carbon_emissions_baseline,10495765.345236396
carbon_emissions_control,12024589.158508655
carbon_emissions_daily_average_baseline,28758.804462344277
carbon_emissions_daily_average_control,32947.841055395336
carbon_emissions_daily_average_delta,4189.036593051056
carbon_emissions_delta,766506.4249326547
community_import_share,0.19879067106528983
community_local_traded_daily_average,7137.722274327017
community_local_traded_total,2604971.2250345973
cost_one_minus_load_factor_average,0.9259015282713119
cost_peak_average,1.182923567644675
cost_ramping_average,1.1223596999902195
electricity_cost,1.042214611919344
electricity_cost_baseline,6695234.032209833
electricity_cost_control,6977870.738588757
electricity_cost_daily_average_baseline,18345.201138604407
electricity_cost_daily_average_control,19119.636685252903
electricity_cost_daily_average_delta,774.4355466484952
electricity_cost_delta,141705.57096278612
ev_charge_total,104202.53703365661
ev_departure_count,39682.0
ev_departure_met_count,7855.0
ev_departure_soc_deficit_mean,0.34869073545537405
ev_departure_success_rate,0.19794869210221258
ev_departure_within_tolerance_count,2505.0
ev_departure_within_tolerance_rate,0.06312685852527594
ev_v2g_export_total,47093.06678666417
grid_export_baseline,39642153.75536919
grid_export_control,39289395.71294946
grid_export_delta,-176862.30657451978
grid_export_ratio,0.991101441041862
grid_import,1.3989984761756187
grid_import_baseline,12573314.324249268
grid_import_control,13104091.912738869
grid_import_delta,266115.96984268574
net_exchange_baseline,-27068839.43111992
net_exchange_control,-26185303.80021059
net_exchange_delta,442978.27641720645
one_minus_load_factor_average,0.9259015282713119
peak_average,1.182923567644675
pv_export_daily_average,110640.23046166918
pv_export_total,40379074.10890668
pv_generation_daily_average,136095.6394630498
pv_generation_total,49669237.752368875
pv_self_consumption_ratio,0.18704059220274868
ramping_average,1.1223596999902195
zero_net_energy,0.9866302696055077
