kpi,value
peak_average,1.089215862298233
ramping_average,1.0215272114711218
one_minus_load_factor_average,0.9828215819753824
pv_self_consumption_ratio,0.1791905952770011
battery_throughput_total,674780.458984498
ev_charge_total,11359.92720144242
ev_v2g_export_total,3883.6015368360095
carbon_emissions,1.0507306584450575
carbon_emissions_control,10584020.15044639
carbon_emissions_delta,82735.76539890759
electricity_cost,1.004567482935532
electricity_cost_control,5939303.97852099
electricity_cost_delta,13539.160335444842
price_signal_deviation,0.3815787500138164
