action_dim,action_l2,action_max,action_mean,action_min,agent,agent_index,algorithm,carbon_intensity,done,electrical_storage_electricity_consumption_kwh,electrical_storage_energy_balance_kwh,electrical_storage_soc,electricity_price,episode,episode_step,ev_charge_kwh,ev_electricity_consumption_kwh,ev_v2g_export_kwh,global_step,grid_export_kwh,grid_import_kwh,individual_reward,net_electricity_consumption_cost,net_electricity_consumption_emission,net_electricity_consumption_kwh,net_electricity_consumption_without_storage_kwh,observation_dim,observation_l2,observation_max,observation_mean,observation_min,pv_export_kwh,pv_generation_kwh,reward,reward_function,reward_profile,scenario,solar_generation_raw_kwh,state_dim,state_l2,state_max,state_mean,state_min,time_step
6,0.0,0.0,0.0,0.0,Building_1,0,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.39711645245552063,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5494993329048157,0.0,0.0,0.0,0.0,64,3.399947121501272,1.0,0.23232329500024207,0.0,0.0,0.0,-0.4925156235694885,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E1,-0.0,1907,14.51904259128735,1.0,0.1365605647239578,0.0,1
8,0.0,0.0,0.0,0.0,Building_2,1,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.39711645245552063,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4413459599018097,0.0,0.0,0.0,0.0,78,3.530972767129449,1.0,0.19426156773876685,0.0,0.0,0.0,-0.4925156235694885,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E1,-0.0,1907,14.51904259128735,1.0,0.1365605647239578,0.0,1
10,0.0,0.0,0.0,0.0,Building_3,2,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.39711645245552063,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5154462456703186,0.0,0.0,0.0,0.0,92,3.595184511317292,1.0,0.1728648382401013,0.0,0.0,0.0,-0.4925156235694885,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E1,-0.0,1907,14.51904259128735,1.0,0.1365605647239578,0.0,1
8,0.0,0.0,0.0,0.0,Building_4,3,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.39711645245552063,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5052692294120789,0.0,0.0,0.0,0.0,78,3.4599095937337703,1.0,0.19043285115502584,0.0,0.0,0.0,-0.4925156235694885,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E1,-0.0,1907,14.51904259128735,1.0,0.1365605647239578,0.0,1
5,0.0,0.0,0.0,0.0,Building_5,4,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.39711645245552063,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5317111015319824,0.0,0.0,0.0,0.0,57,3.5373607559917155,1.0,0.2738490780782804,0.0,0.0,0.0,-0.4925156235694885,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E1,-0.0,1907,14.51904259128735,1.0,0.1365605647239578,0.0,1
34,1.0,1.0,0.029411764705882353,0.0,Building_6,5,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.39711645245552063,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5465103387832642,0.0,0.0,0.0,0.0,260,3.446708557887374,1.0,0.057251454810970104,0.0,0.0,0.0,-0.4925156235694885,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E1,-0.0,1907,14.51904259128735,1.0,0.1365605647239578,0.0,1
44,0.0,0.0,0.0,0.0,Building_7,6,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.39711645245552063,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.44820865988731384,0.0,0.0,0.0,0.0,330,3.511104933560661,1.0,0.04572345136354367,0.0,0.0,0.0,-0.4925156235694885,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E1,-0.0,1907,14.51904259128735,1.0,0.1365605647239578,0.0,1
19,0.0,0.0,0.0,0.0,Building_8,7,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.39711645245552063,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.4430450201034546,0.0,0.0,0.0,0.0,155,3.529797331867745,1.0,0.09781620388309802,0.0,0.0,0.0,-0.4925156235694885,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E1,-0.0,1907,14.51904259128735,1.0,0.1365605647239578,0.0,1
12,0.0,0.0,0.0,0.0,Building_9,8,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.39711645245552063,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.45133042335510254,0.0,0.0,0.0,0.0,106,3.6406126405888504,1.0,0.15179483432603894,0.0,0.0,0.0,-0.4925156235694885,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E1,-0.0,1907,14.51904259128735,1.0,0.1365605647239578,0.0,1
8,0.0,0.0,0.0,0.0,Building_10,9,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.39711645245552063,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5194079279899597,0.0,0.0,0.0,0.0,78,3.4879012296061043,1.0,0.1926768557049143,0.0,0.0,0.0,-0.4925156235694885,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E1,-0.0,1907,14.51904259128735,1.0,0.1365605647239578,0.0,1
