cost_function,level,name,value
building_battery_health_capacity_fade_ratio,building,Building_1,5.222515736525958e-05
building_battery_health_equivalent_full_cycles_count,building,Building_1,13.07618450070278
building_battery_total_charge_kwh,building,Building_1,95812.94465156467
building_battery_total_discharge_kwh,building,Building_1,80637.08900091866
building_battery_total_throughput_kwh,building,Building_1,176450.0336524833
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_1,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_1,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_1,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_1,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_1,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_1,nan
building_cost_daily_average_baseline_eur,building,Building_1,6516.163576120259
building_cost_daily_average_control_eur,building,Building_1,6554.15413545439
building_cost_daily_average_delta_eur,building,Building_1,37.990559334130815
building_cost_ratio_to_baseline_total_ratio,building,Building_1,1.005830203445683
building_cost_total_baseline_eur,building,Building_1,2378128.1984682227
building_cost_total_control_eur,building,Building_1,2391993.1696852082
building_cost_total_delta_eur,building,Building_1,13864.97121698549
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_1,0.0029754987255427774
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_1,1300.2860107421875
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_1,1300.2860107421875
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_1,1300.2860107421875
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_1,840.8063354492188
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_1,840.8063354492188
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_1,840.8063354492188
building_electrical_service_phase_violations_energy_total_kwh,building,Building_1,0.0
building_electrical_service_phase_violations_event_count,building,Building_1,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_1,8301.225357215817
building_emissions_daily_average_control_kgco2,building,Building_1,8408.814097006254
building_emissions_daily_average_delta_kgco2,building,Building_1,107.58873979043749
building_emissions_ratio_to_baseline_total_ratio,building,Building_1,1.0129605853546568
building_emissions_total_baseline_kgco2,building,Building_1,3029601.370993889
building_emissions_total_control_kgco2,building,Building_1,3068866.7781532407
building_emissions_total_delta_kgco2,building,Building_1,39265.407159351744
building_energy_grid_daily_average_export_baseline_kwh,building,Building_1,4644.293883264684
building_energy_grid_daily_average_export_control_kwh,building,Building_1,4741.167945852154
building_energy_grid_daily_average_export_delta_kwh,building,Building_1,96.87406258746933
building_energy_grid_daily_average_import_baseline_kwh,building,Building_1,10772.763271312298
building_energy_grid_daily_average_import_control_kwh,building,Building_1,10911.972492406707
building_energy_grid_daily_average_import_delta_kwh,building,Building_1,139.2092210944078
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_1,6128.469388047614
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_1,6170.804546554553
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_1,42.335158506938484
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_1,1.0208587279406556
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_1,1.01292233177212
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_1,1.0069079497385602
building_energy_grid_total_export_baseline_kwh,building,Building_1,1694973.7551464736
building_energy_grid_total_export_control_kwh,building,Building_1,1730328.7515716255
building_energy_grid_total_export_delta_kwh,building,Building_1,35354.996425151825
building_energy_grid_total_import_baseline_kwh,building,Building_1,3931609.728892684
building_energy_grid_total_import_control_kwh,building,Building_1,3982415.2942079306
building_energy_grid_total_import_delta_kwh,building,Building_1,50805.56531524658
building_energy_grid_total_net_exchange_baseline_kwh,building,Building_1,2236635.9737462103
building_energy_grid_total_net_exchange_control_kwh,building,Building_1,2252086.542636305
building_energy_grid_total_net_exchange_delta_kwh,building,Building_1,15450.568890094757
building_equity_benefit_relative_percent,building,Building_1,-0.5830203445683064
building_ev_events_departure_count,building,Building_1,924.0
building_ev_events_departure_met_count,building,Building_1,36.0
building_ev_events_departure_within_tolerance_count,building,Building_1,13.0
building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_1,0.49401487796612803
building_ev_performance_departure_success_ratio,building,Building_1,0.03896103896103896
building_ev_performance_departure_within_tolerance_ratio,building,Building_1,0.01406926406926407
building_ev_total_charge_kwh,building,Building_1,518.8139262497425
building_ev_total_v2g_export_kwh,building,Building_1,244.10089445114136
building_solar_self_consumption_daily_average_export_kwh,building,Building_1,4650.71878211763
building_solar_self_consumption_daily_average_generation_kwh,building,Building_1,9423.774936602624
building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_1,0.5064908899666202
building_solar_self_consumption_total_export_kwh,building,Building_1,1697318.57552368
building_solar_self_consumption_total_generation_kwh,building,Building_1,3439285.194570932
building_battery_health_capacity_fade_ratio,building,Building_10,5.0764219127342916e-05
building_battery_health_equivalent_full_cycles_count,building,Building_10,12.897136784286328
building_battery_total_charge_kwh,building,Building_10,32930.342013246234
building_battery_total_discharge_kwh,building,Building_10,27763.583693605222
building_battery_total_throughput_kwh,building,Building_10,60693.925706851456
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_10,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_10,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_10,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_10,nan
building_cost_daily_average_baseline_eur,building,Building_10,886.4461479331378
building_cost_daily_average_control_eur,building,Building_10,893.6005844873591
building_cost_daily_average_delta_eur,building,Building_10,7.154436554221245
building_cost_ratio_to_baseline_total_ratio,building,Building_10,1.0080709206880787
building_cost_total_baseline_eur,building,Building_10,323515.9087394314
building_cost_total_control_eur,building,Building_10,326126.9799801991
building_cost_total_delta_eur,building,Building_10,2611.071240767662
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_10,0.0409746066364485
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_10,1073.6650390625
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_10,1073.6650390625
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_10,1073.6650390625
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_10,322.7171630859375
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_10,322.7171630859375
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_10,322.7171630859375
building_electrical_service_phase_violations_energy_total_kwh,building,Building_10,0.0
building_electrical_service_phase_violations_event_count,building,Building_10,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_10,1099.4140362561736
building_emissions_daily_average_control_kgco2,building,Building_10,1141.4008063982035
building_emissions_daily_average_delta_kgco2,building,Building_10,41.986770142029705
building_emissions_ratio_to_baseline_total_ratio,building,Building_10,1.038190134705763
building_emissions_total_baseline_kgco2,building,Building_10,401240.31431532605
building_emissions_total_control_kgco2,building,Building_10,416563.73596841097
building_emissions_total_delta_kgco2,building,Building_10,15323.421653084923
building_energy_grid_daily_average_export_baseline_kwh,building,Building_10,8182.806114637058
building_energy_grid_daily_average_export_control_kwh,building,Building_10,8221.719062588696
building_energy_grid_daily_average_export_delta_kwh,building,Building_10,38.91294795163814
building_energy_grid_daily_average_import_baseline_kwh,building,Building_10,1459.9549639312927
building_energy_grid_daily_average_import_control_kwh,building,Building_10,1513.7752220851398
building_energy_grid_daily_average_import_delta_kwh,building,Building_10,53.82025815384725
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_10,-6722.851150705766
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_10,-6707.943840503557
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_10,14.90731020220911
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_10,1.0047554527635736
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_10,1.036864327656329
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_10,0.997782591066196
building_energy_grid_total_export_baseline_kwh,building,Building_10,2986383.2815877497
building_energy_grid_total_export_control_kwh,building,Building_10,3000584.8862172663
building_energy_grid_total_export_delta_kwh,building,Building_10,14201.604629516602
building_energy_grid_total_import_baseline_kwh,building,Building_10,532822.7303780913
building_energy_grid_total_import_control_kwh,building,Building_10,552464.8820934892
building_energy_grid_total_import_delta_kwh,building,Building_10,19642.151715397835
building_energy_grid_total_net_exchange_baseline_kwh,building,Building_10,-2453560.5512096584
building_energy_grid_total_net_exchange_control_kwh,building,Building_10,-2448120.004123777
building_energy_grid_total_net_exchange_delta_kwh,building,Building_10,5440.547085881233
building_equity_benefit_relative_percent,building,Building_10,-0.8070920688078713
building_ev_events_departure_count,building,Building_10,1298.0
building_ev_events_departure_met_count,building,Building_10,29.0
building_ev_events_departure_within_tolerance_count,building,Building_10,12.0
building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_10,0.502218697083573
building_ev_performance_departure_success_ratio,building,Building_10,0.02234206471494607
building_ev_performance_departure_within_tolerance_ratio,building,Building_10,0.009244992295839754
building_ev_total_charge_kwh,building,Building_10,737.0664724707603
building_ev_total_v2g_export_kwh,building,Building_10,463.27769004926085
building_solar_self_consumption_daily_average_export_kwh,building,Building_10,8171.19489010746
building_solar_self_consumption_daily_average_generation_kwh,building,Building_10,9619.92756907753
building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_10,0.1505970464504226
building_solar_self_consumption_total_export_kwh,building,Building_10,2982145.6684354683
building_solar_self_consumption_total_generation_kwh,building,Building_10,3510872.73239792
building_battery_health_capacity_fade_ratio,building,Building_11,3.3980911606807805e-05
building_battery_health_equivalent_full_cycles_count,building,Building_11,9.916864741446625
building_battery_total_charge_kwh,building,Building_11,20055.324553593993
building_battery_total_discharge_kwh,building,Building_11,17648.595193386078
building_battery_total_throughput_kwh,building,Building_11,37703.91974698007
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_11,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_11,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_11,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_11,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_11,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_11,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_11,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_11,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_11,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_11,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_11,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_11,nan
building_cost_daily_average_baseline_eur,building,Building_11,511.12089532757426
building_cost_daily_average_control_eur,building,Building_11,506.15690120436926
building_cost_daily_average_delta_eur,building,Building_11,-4.963994123204976
building_cost_ratio_to_baseline_total_ratio,building,Building_11,0.9902880235017126
building_cost_total_baseline_eur,building,Building_11,186537.83009059262
building_cost_total_control_eur,building,Building_11,184726.17906871127
building_cost_total_delta_eur,building,Building_11,-1811.6510218813492
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_11,0.006604651829255322
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_11,4244.19384765625
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_11,4244.19384765625
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_11,4244.19384765625
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_11,185.43434143066406
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_11,185.43434143066406
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_11,185.43434143066406
building_electrical_service_phase_violations_energy_total_kwh,building,Building_11,0.0
building_electrical_service_phase_violations_event_count,building,Building_11,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_11,1162.1162694104878
building_emissions_daily_average_control_kgco2,building,Building_11,1181.9164018187844
building_emissions_daily_average_delta_kgco2,building,Building_11,19.800132408296612
building_emissions_ratio_to_baseline_total_ratio,building,Building_11,1.0170379960503786
building_emissions_total_baseline_kgco2,building,Building_11,424124.01682360255
building_emissions_total_control_kgco2,building,Building_11,431350.2401471138
building_emissions_total_delta_kgco2,building,Building_11,7226.223323511251
building_energy_grid_daily_average_export_baseline_kwh,building,Building_11,27905.544974433247
building_energy_grid_daily_average_export_control_kwh,building,Building_11,27923.56786818798
building_energy_grid_daily_average_export_delta_kwh,building,Building_11,18.022893754732856
building_energy_grid_daily_average_import_baseline_kwh,building,Building_11,1505.5293126625072
building_energy_grid_daily_average_import_control_kwh,building,Building_11,1530.8988429083784
building_energy_grid_daily_average_import_delta_kwh,building,Building_11,25.36953024587099
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_11,-26400.01566177074
