available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,5.1152448057640876e-05
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,358996.0523502038
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,308518.80131375405
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,12.706823529733455
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,667514.8536639579
True,OE1,Flexibilidad energetica,,,,community_import_share,False,citylearn_v2.evaluate_v2,0.09799700471313148
True,OE1,Flexibilidad energetica,,,,community_local_traded_daily_average,False,citylearn_v2.evaluate_v2,3538.907283318001
True,OE1,Flexibilidad energetica,,,,community_local_traded_total,False,citylearn_v2.evaluate_v2,1291553.7039409322
True,OE1,Flexibilidad energetica,,,,ev_charge_total,False,citylearn_v2.evaluate_v2,11323.290890360251
True,OE1,Flexibilidad energetica,,,,ev_departure_count,True,citylearn_v2.evaluate_v2,39682.0
True,OE1,Flexibilidad energetica,,,,ev_departure_met_count,False,citylearn_v2.evaluate_v2,1683.0
True,OE1,Flexibilidad energetica,,,,ev_departure_soc_deficit_mean,True,citylearn_v2.evaluate_v2,0.500084993256214
True,OE1,Flexibilidad energetica,,,,ev_departure_success_rate,False,citylearn_v2.evaluate_v2,0.04241217680560456
True,OE1,Flexibilidad energetica,,,,ev_departure_within_tolerance_count,False,citylearn_v2.evaluate_v2,531.0
True,OE1,Flexibilidad energetica,,,,ev_departure_within_tolerance_rate,False,citylearn_v2.evaluate_v2,0.01338138198679502
True,OE1,Flexibilidad energetica,,,,ev_v2g_export_total,False,citylearn_v2.evaluate_v2,3406.4530065609724
True,OE1,Flexibilidad energetica,,,,grid_export_baseline,True,citylearn_v2.evaluate_v2,39346283.74586487
True,OE1,Flexibilidad energetica,39346283.74586487,-12912.537941396236,True,grid_export_control,True,citylearn_v2.evaluate_v2,39333371.20792347
True,OE1,Flexibilidad energetica,0.0,-6473.9593982922215,True,grid_export_delta,True,citylearn_v2.evaluate_v2,-6473.9593982922215
True,OE1,Flexibilidad energetica,1.0,-0.0003281768114314909,True,grid_export_ratio,True,citylearn_v2.evaluate_v2,0.9996718231885685
True,OE1,Flexibilidad energetica,1.0,0.03713703432712645,False,grid_import,True,citylearn_v2.evaluate_v2,1.0371370343271265
True,OE1,Flexibilidad energetica,,,,grid_import_baseline,True,citylearn_v2.evaluate_v2,13134040.687343597
True,OE1,Flexibilidad energetica,13134040.687343597,45481.5615427047,False,grid_import_control,True,citylearn_v2.evaluate_v2,13179522.248886302
True,OE1,Flexibilidad energetica,0.0,22803.091393399667,False,grid_import_delta,True,citylearn_v2.evaluate_v2,22803.091393399667
True,OE1,Flexibilidad energetica,,,,net_exchange_baseline,True,citylearn_v2.evaluate_v2,-26212243.05852127
