available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,output_profile,algorithm,scenario,seed,run_path
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,5.10651804180305e-05,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,332451.2102501957,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,291882.2389227986,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,11.884821616785853,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,624333.4491729945,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,community_import_share,False,citylearn_v2.evaluate_v2,0.08236608602305379,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,community_local_traded_daily_average,False,citylearn_v2.evaluate_v2,2520.173910083967,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,community_local_traded_total,False,citylearn_v2.evaluate_v2,919758.4699343944,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,ev_charge_total,False,citylearn_v2.evaluate_v2,10720.165089577436,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,ev_departure_count,True,citylearn_v2.evaluate_v2,39682.0,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,ev_departure_met_count,False,citylearn_v2.evaluate_v2,1563.0,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,ev_departure_soc_deficit_mean,True,citylearn_v2.evaluate_v2,0.5027141603949834,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,ev_departure_success_rate,False,citylearn_v2.evaluate_v2,0.03938813567864523,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
