axis,algorithm,scenario,seed,district_timeseries_episodes,kpi,valor,unidad,metodo,fuente,interpretacion,notas
OE.1,MASAC,E1,0,50,peak_average,1.0850627613699078,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E1_core_kpis.csv | D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MASAC/E1/data/training_summary.json::citylearn_v3_report.all_values.peak_average,baseline=1.0; delta=0.085063; peor pico,
OE.1,MASAC,E1,0,50,ramping_average,1.0219691691061643,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E1_core_kpis.csv | all_values.ramping_average,baseline=1.0; delta=0.021969,
OE.1,MASAC,E1,0,50,one_minus_load_factor_average,0.9786257116077314,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E1_core_kpis.csv | all_values.one_minus_load_factor_average,baseline=1.0; delta=-0.021374; mejor load factor penalty,
OE.1,MASAC,E1,0,50,autoconsumo (pv_self_consumption_ratio),0.16414201846505772,ratio [0-1],extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E1_core_kpis.csv | all_values.pv_self_consumption_ratio,PV used=8131272.21 kWh de gen=49538029.87 kWh; export=41406757.65 kWh,
OE.1,MASAC,E1,0,50,autosuficiencia (derivada),0.42135342049687136,ratio [0-1],calculado:(pv_gen-pv_export)/(pv_gen-pv_export+grid_import_control),"D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MASAC/E1/data/training_summary.json::all_values[pv_generation_total,pv_export_total,grid_import_control]",cobertura local aprox; import_control=11166713.32 kWh,No hay KPI self_sufficiency nativo en evaluate_v2/madrl_kpis
OE.2,MASAC,E1,0,50,carbon_emissions (ratio),1.053619622048921,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E1_core_kpis.csv | all_values.carbon_emissions,baseline=1.0; delta_ratio=0.053620,
OE.2,MASAC,E1,0,50,consumo_ponderado_CI (=carbon_emissions_control),9250726.214372514,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E1_core_kpis.csv | all_values.carbon_emissions_control,absoluto control; baseline=9088716.8799 kgCO2,
OE.2,MASAC,E1,0,50,carbon_emissions_delta,81226.6231709392,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E1_core_kpis.csv | all_values.carbon_emissions_delta,control - baseline; positivo = más emisiones que baseline,
OE.2,MASAC,E1,0,50,emisiones_evitadas,-162009.33447666094,kgCO2,calculado:carbon_emissions_baseline - carbon_emissions_control,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MASAC/E1/data/training_summary.json::all_values,exceso (sin evitacion): 162009.3345 kgCO2,
OE.3,MASAC,E1,0,50,electricity_cost (ratio),1.0049419564019464,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E1_core_kpis.csv | all_values.electricity_cost,baseline=1.0; delta_ratio=0.004942,
OE.3,MASAC,E1,0,50,electricity_cost_control,5950967.92744811,EUR (etiqueta CityLearn),extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E1_core_kpis.csv | all_values.electricity_cost_control,absoluto control; baseline=5921703.1288,
OE.3,MASAC,E1,0,50,electricity_cost_delta,14672.49268599316,EUR,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E1_core_kpis.csv | all_values.electricity_cost_delta,control - baseline; positivo = mayor costo,
OE.3,MASAC,E1,0,50,reduccion_cargo_demanda (proxy cost_peak_average),1.0850627613699078,ratio peak; %reduccion=-8.5063,extraido+proxy,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E1_core_kpis.csv | all_values.cost_peak_average (=peak_average),% reduccion vs baseline peak=-8.5063% (negativo=aumento de pico/cargo),No hay campo demand_charge_reduction; se usa cost_peak_average
OE.3,MASAC,E1,0,50,price_signal_deviation,0.38935242020988164,ratio,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E1_core_kpis.csv | all_values.price_signal_deviation,baseline=0.3845739346847668; delta=0.0047784855251148395,
OE.1,MASAC,E2,0,50,peak_average,1.0956074399714257,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E2_core_kpis.csv | D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MASAC/E2/data/training_summary.json::citylearn_v3_report.all_values.peak_average,baseline=1.0; delta=0.095607; peor pico,
OE.1,MASAC,E2,0,50,ramping_average,1.0208812307447095,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E2_core_kpis.csv | all_values.ramping_average,baseline=1.0; delta=0.020881,
